one huge opportunity .	one huge opportunity .	NUM ADJ N;SG _
it is a competition , and you will be competing with hundreds of thousands of others , from all over the world , for a place in the line up .	it be a competition , and you will be compete with hundred of thousand of other , from all over the world , for a place in the line up .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG _ CONJ 2;NOM;PRO FIN;V NFIN;V PRS;V;V.PTCP ADP N;PL ADP N;PL ADP N;PL _ ADP ADV ADP DEF;DET N;SG _ ADP DET;INDF N;SG ADP DEF;DET N;SG N;SG _
a may 2001 letter that zawahiri sent to egyptian islamic jihad members abroad establish that zawahiri used " school " as a code word for the egyptian militant islamists in his correspondence .	a may 2001 letter that zawahiri send to egyptian islamic jihad member abroad establish that zawahiri use " school " as a code word for the egyptian militant islamist in he correspondence .	DET;INDF PROPN;SG NUM N;SG PRO PROPN;SG FIN;IND;PST;V ADP ADJ PROPN;SG PROPN;SG N;PL ADV FIN;IND;PRS;V CONJ PROPN;SG FIN;IND;PST;V _ N;SG _ ADP DET;INDF N;SG N;SG ADP DEF;DET ADJ ADJ N;PL ADP 3;MASC;PRO;SG N;SG _
san antonio , wow what a let down from the other cities .	san antonio , wow what a let down from the other city .	PROPN;SG PROPN;SG _ INTJ DET DET;INDF N;SG N;SG ADP DEF;DET ADJ N;PL _
excellent customer service and quality work .	excellent customer service and quality work .	ADJ N;SG N;SG CONJ ADJ N;SG _
shall we censor the works of poet charles baudelaire as well ?	shall we censor the work of poet charle baudelaire as well ?	FIN;V 1;NOM;PL;PRO NFIN;V DEF;DET N;PL ADP N;SG N;PL PROPN;SG ADV ADV _
professor titman :	professor titman :	PROPN;SG PROPN;SG _
they did a vehicle wrap for my toyota venza that looks amazing .	they do a vehicle wrap for my toyota venza that look amazing .	3;NOM;PL;PRO FIN;IND;PST;V DET;INDF N;SG N;SG ADP 1;PRO;SG PROPN;SG PROPN;SG PRO 3;FIN;IND;PRS;SG;V ADJ _
wait for 18th birthday ?	wait for 18th birthday ?	NFIN;V ADP ADJ N;SG _
86m - enron net works llc	86m - enron net works llc	N;SG _ PROPN;SG PROPN;SG PL;PROPN PROPN;SG
this place is clean and well run with great people .	this place be clean and well run with great people .	DET;SG N;SG 3;FIN;IND;PRS;SG;V ADJ CONJ ADV PST;V;V.PTCP ADP ADJ N;PL _
$ 113 m - amount of total hard money the bush - cheney 2000 campaign received , a record .	$ 113 m - amount of total hard money the bush - cheney 2000 campaign receive , a record .	_ NUM NUM _ N;SG ADP ADJ ADJ N;SG DEF;DET PROPN;SG _ PROPN;SG NUM N;SG FIN;IND;PST;V _ DET;INDF N;SG _
you may regard my views as those of the proverbial taxi driver , which you are supposed to question , when you visit a country .	you may regard my view as those of the proverbial taxi driver , which you be suppose to question , when you visit a country .	2;NOM;PRO FIN;V NFIN;V 1;PRO;SG N;PL ADP PL;PRO ADP DEF;DET ADJ N;SG N;SG _ PRO 2;NOM;PRO FIN;IND;PRS;V PST;V;V.PTCP PART NFIN;V _ ADV 2;NOM;PRO FIN;IND;PRS;V DET;INDF N;SG _
sure google , although this would put it on coarse for global domination of the internet by 2014 .	sure google , although this would put it on coarse for global domination of the internet by 2014 .	INTJ PROPN;SG _ CONJ PRO;SG FIN;V NFIN;V 3;ACC;NEUT;PRO;SG ADP N;SG ADP ADJ N;SG ADP DEF;DET N;SG ADP NUM _
i just get hung up on ' christians ' , as they 're the dominant form where i come from .	i just get hung up on ' christians ' , as they be the dominant form where i come from .	1;NOM;PRO;SG ADV NFIN;V ADJ ADJ ADP _ PL;PROPN _ _ CONJ 3;NOM;PL;PRO FIN;IND;PRS;V DEF;DET ADJ N;SG ADV 1;NOM;PRO;SG FIN;IND;PRS;V ADP _
if you are comfortable , we will drive these changes into our other midmarket power forms .	if you be comfortable , we will drive these change into we other midmarket power form .	CONJ 2;NOM;PRO FIN;IND;PRS;V ADJ _ 1;NOM;PL;PRO FIN;V NFIN;V DET;PL N;PL ADP 1;PL;PRO ADJ ADJ N;SG N;PL _
because israel and any problems related to it , in spite of what you might read or hear in the world media , is not the central issue , and has never been the central issue in the upheaval in the region .	because israel and any problem related to it , in spite of what you might read or hear in the world media , be not the central issue , and have never be the central issue in the upheaval in the region .	CONJ PROPN;SG CONJ DET N;PL ADJ ADP 3;ACC;NEUT;PRO;SG _ ADP N;SG CONJ PRO 2;NOM;PRO FIN;V NFIN;V CONJ NFIN;V ADP DEF;DET N;SG N;SG _ 3;FIN;IND;PRS;SG;V PART DEF;DET ADJ N;SG _ CONJ 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DEF;DET ADJ N;SG ADP DEF;DET N;SG ADP DEF;DET N;SG _
i called and got the same runaround on hold and noone calls you back .	i call and get the same runaround on hold and noone call you back .	1;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V DEF;DET ADJ N;SG ADP N;SG CONJ N;SG 3;FIN;IND;PRS;SG;V 2;ACC;PRO ADV _
this woman should be working in supercuts ... if that .	this woman should be work in supercuts ... if that .	DET;SG N;SG FIN;V NFIN;V PRS;V;V.PTCP ADP PROPN;SG _ CONJ PRO;SG _
i wish the other utilities i had to set up had people to work with like this ..	i wish the other utility i have to set up have people to work with like this ..	1;NOM;PRO;SG FIN;IND;PRS;V DEF;DET ADJ N;PL 1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V ADP FIN;IND;PST;V N;PL PART NFIN;V ADP ADP PRO;SG _
heh , yep , i like to wear silk chemises , panties even stockings with garter belt .	heh , yep , i like to wear silk chemise , panties even stocking with garter belt .	INTJ _ INTJ _ 1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V N;SG N;PL _ N;PL ADV N;PL ADP N;SG N;SG _
she still has some sort of scholarship but i am not for sure how much it pays .	she still have some sort of scholarship but i be not for sure how much it pay .	3;FEM;NOM;PRO;SG ADV 3;FIN;IND;PRS;SG;V DET N;SG ADP N;SG CONJ 1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V PART ADP ADJ ADV ADJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _
no under 12's .	no under 12' .	DET ADJ N;PL _
great place 5 stars for sure .	great place 5 star for sure .	ADJ N;SG NUM N;PL ADP ADJ _
if you love seeing the shows , royal caribbean was better for the main shows and carnival was slightly better for the comedians .	if you love see the show , royal caribbean be better for the main show and carnival be slightly better for the comedian .	CONJ 2;NOM;PRO FIN;IND;PRS;V V;V.MSDR DEF;DET N;PL _ PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADJ;CMPR ADP DEF;DET ADJ N;PL CONJ PROPN;SG 3;FIN;IND;PST;SG;V ADV ADJ;CMPR ADP DEF;DET N;PL _
as i read the letter , i considered the vast contrast between mind and morality of whoever wrote it , vs. that of the mind of the man who once said " bring it on ! "	as i read the letter , i consider the vast contrast between mind and morality of whoever write it , vs. that of the mind of the man who once say " bring it on ! "	CONJ 1;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG _ 1;NOM;PRO;SG FIN;IND;PST;V DEF;DET ADJ N;SG ADP N;SG CONJ N;SG ADP PRO FIN;IND;PST;V 3;ACC;NEUT;PRO;SG _ CONJ PRO;SG ADP DEF;DET N;SG ADP DEF;DET N;SG PRO ADV FIN;IND;PST;V _ FIN;IMP;V 3;ACC;NEUT;PRO;SG ADP _ _
1562 st teresa , a spanish reformer , includes chess in her writings .	1562 st teresa , a spanish reformer , include chess in she writings .	NUM PROPN;SG PROPN;SG _ DET;INDF ADJ N;SG _ 3;FIN;IND;PRS;SG;V N;SG ADP 3;FEM;PRO;SG N;PL _
syria is surrounded by turkey , iraq , jordan and israel .	syria be surround by turkey , iraq , jordan and israel .	PROPN;SG 3;FIN;IND;PRS;SG;V PASS;PST;V;V.PTCP ADP PROPN;SG _ PROPN;SG _ PROPN;SG CONJ PROPN;SG _
that india is not yugoslavia and that the " foreigner - led " indian national congress can least afford to ignore indian nationalism , has not struck the conferees , among whom have been several indian " scholars " and " analysts " ready to say and endorse anything for the sake of a free trip to new york or vienna .	that india be not yugoslavia and that the " foreigner - lead " indian national congress can least afford to ignore indian nationalism , have not strike the conferee , among whom have be several indian " scholar " and " analyst " ready to say and endorse anything for the sake of a free trip to new york or vienna .	CONJ PROPN;SG 3;FIN;IND;PRS;SG;V PART PROPN;SG CONJ CONJ DEF;DET _ N;SG _ PST;V;V.PTCP _ PROPN;SG PROPN;SG PROPN;SG FIN;V ADV;RL NFIN;V PART NFIN;V ADJ N;SG _ 3;FIN;IND;PRS;SG;V PART NFIN;V DEF;DET N;PL _ ADP PRO FIN;IND;PRS;V PST;V;V.PTCP ADJ ADJ _ N;PL _ CONJ _ N;PL _ ADJ PART NFIN;V CONJ NFIN;V PRO;SG ADP DEF;DET N;SG ADP DET;INDF ADJ N;SG ADP PROPN;SG PROPN;SG CONJ PROPN;SG _
step four :	step four :	N;SG NUM _
it was an extremely amusing episode , watching chalabi looking smug and amused , contrasted with sha'lan , all serious and barely keeping himself from swearing .	it be a extremely amusing episode , watch chalabi look smug and amused , contrast with sha'lan , all serious and barely keep himself from swear .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF ADV ADJ N;SG _ V;V.MSDR PROPN;SG V;V.MSDR ADJ CONJ ADJ _ PST;V;V.PTCP ADP PROPN;SG _ ADV ADJ CONJ ADV V;V.MSDR 3;ACC;MASC;PRO;REFL;SG CONJ V;V.MSDR _
for $ 4 it was a nice break from the monotony of winter indoors with a toddler .	for $ 4 it be a nice break from the monotony of winter indoors with a toddler .	ADP _ NUM 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF ADJ N;SG ADP DEF;DET N;SG ADP N;SG ADV ADP DET;INDF N;SG _
they sometimes do nt get along ( you know how some girls are lol hahahaahh but for real though , two girls tend to fight a lot .	they sometimes do not get along ( you know how some girl be lol hahahaahh but for real though , two girl tend to fight a lot .	3;NOM;PL;PRO ADV FIN;IND;PRS;V PART NFIN;V ADV _ 2;NOM;PRO FIN;IND;PRS;V ADV DET N;PL FIN;IND;PRS;V INTJ INTJ CONJ ADP ADJ ADV _ NUM N;PL FIN;IND;PRS;V PART NFIN;V DET;INDF N;SG _
so huge in fact , that toronto slang is influenced by and has jamaican references , and jamaican beef patties are staples in my high school cafeteria .	so huge in fact , that toronto slang be influence by and have jamaican reference , and jamaican beef patty be staple in my high school cafeteria .	ADV ADJ ADP N;SG _ CONJ PROPN;SG N;SG 3;FIN;IND;PRS;SG;V PASS;PST;V;V.PTCP ADP CONJ 3;FIN;IND;PRS;SG;V ADJ N;PL _ CONJ ADJ N;SG N;PL FIN;IND;PRS;V N;PL ADP 1;PRO;SG ADJ N;SG N;SG _
however there were visible signs of a crackdown on the pakistan side .	however there be visible sign of a crackdown on the pakistan side .	ADV PRO FIN;IND;PST;V ADJ N;PL ADP DET;INDF N;SG ADP DEF;DET PROPN;SG N;SG _
our wedding 11/7/08	we wedding 11/7/08	1;PL;PRO N;SG NUM
i will be vacationing there	i will be vacation there	1;NOM;PRO;SG FIN;V NFIN;V V;V.MSDR ADV
it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong , or at least in ways that are bad for us standing with local iraqis .	it seem clear to i that the manhunt for high baath official in the sunni heartland be be do wrong , or at least in way that be bad for us standing with local iraqis .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ ADP 1;ACC;PRO;SG CONJ DEF;DET N;SG ADP ADJ PROPN;SG N;PL ADP DEF;DET ADJ N;SG 3;FIN;IND;PRS;SG;V V;V.MSDR PASS;PST;V;V.PTCP ADV _ CONJ ADV ADV;RL ADP N;PL PRO FIN;IND;PRS;V ADJ ADP PROPN;SG N;SG ADP ADJ PL;PROPN _
i was later told they had been left at the warehouse and some future date they would be delivered .	i be later tell they have be leave at the warehouse and some future date they would be deliver .	1;NOM;PRO;SG 1;FIN;IND;PST;SG;V ADV;CMPR PASS;PST;V;V.PTCP 3;NOM;PL;PRO FIN;IND;PST;V PST;V;V.PTCP PASS;PST;V;V.PTCP ADP DEF;DET N;SG CONJ DET N;SG N;SG 3;NOM;PL;PRO FIN;V NFIN;V PASS;PST;V;V.PTCP _
my assistant joanne rozycki has cell , car numbers to reach me .	my assistant joanne rozycki have cell , car number to reach i .	1;PRO;SG N;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V N;SG _ N;SG N;PL PART NFIN;V 1;ACC;PRO;SG _
when the dancers start the step with the beat of " dhin , dhin ... " , the mental ideation should also be kept .	when the dancer start the step with the beat of " dhin , dhin ... " , the mental ideation should also be keep .	ADV DEF;DET N;PL FIN;IND;PRS;V DEF;DET N;SG ADP DEF;DET N;SG ADP _ INTJ _ INTJ _ _ _ DEF;DET ADJ N;SG FIN;V ADV NFIN;V PASS;PST;V;V.PTCP _
best stationery store in bethesda	best stationery store in bethesda	ADJ;RL N;SG N;SG ADP PROPN;SG
thanks ,	thanks ,	N;SG _
google nazi stolen art recovery ...	google nazi steal art recovery ...	FIN;IMP;V PROPN;SG PST;V;V.PTCP N;SG N;SG _
delivery is lightning fast .	delivery be lightning fast .	N;SG 3;FIN;IND;PRS;SG;V N;SG ADJ _
he cross examined witnesses relentlessly and had them break down and tell the truth .	he cross examine witness relentlessly and have they break down and tell the truth .	3;MASC;NOM;PRO;SG NFIN;V FIN;IND;PST;V N;PL ADV CONJ FIN;IND;PST;V 3;ACC;PL;PRO NFIN;V ADP CONJ NFIN;V DEF;DET N;SG _
nella	nella	PROPN;SG
i would suggest going for tribal sheikhs rather than clerics , since they have the upper hand in their areas and can effectively root out any ba'athists in their midst in return for a promise of sharing power and authority .	i would suggest go for tribal sheikh rather than cleric , since they have the upper hand in they area and can effectively root out any ba'athists in they midst in return for a promise of share power and authority .	1;NOM;PRO;SG FIN;V NFIN;V V;V.MSDR ADP ADJ N;PL ADP ADP N;PL _ CONJ 3;NOM;PL;PRO FIN;IND;PRS;V DEF;DET ADJ N;SG ADP 3;PL;PRO N;PL CONJ FIN;V ADV NFIN;V ADP DET PL;PROPN ADP 3;PL;PRO N;SG ADP N;SG ADP DET;INDF N;SG CONJ V;V.MSDR N;SG CONJ N;SG _
i am in the office so give me a call .	i be in the office so give i a call .	1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V ADP DEF;DET N;SG ADV NFIN;V 1;ACC;PRO;SG DET;INDF N;SG _
i signed up with one of the staff who was very pleasant and professional .	i sign up with one of the staff who be very pleasant and professional .	1;NOM;PRO;SG FIN;IND;PST;V ADP ADP NUM ADP DEF;DET N;PL PRO 3;FIN;IND;PST;SG;V ADV ADJ CONJ ADJ _
- phyllis diller	- phyllis diller	_ PROPN;SG PROPN;SG
i have to say the value of this place always amazes me .	i have to say the value of this place always amaze i .	1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V DEF;DET N;SG ADP DET;SG N;SG ADV 3;FIN;IND;PRS;SG;V 1;ACC;PRO;SG _
and every entree we have ordered is perfect .	and every entree we have order be perfect .	CONJ DET N;SG 1;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADJ _
5 - number of major us airports at the beginning of 2004 that the transportation security administration admitted were not fully screening baggage electronically .	5 - number of major us airport at the beginning of 2004 that the transportation security administration admit be not fully screen baggage electronically .	NUM _ N;SG ADP ADJ PROPN;SG N;PL ADP DEF;DET N;SG ADP NUM PRO DEF;DET PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V FIN;IND;PST;V PART ADV PRS;V;V.PTCP N;SG ADV _
link	link	N;SG
they can be bleak and eerie , often very exposed , often covered with antiquities like bronze age burial mounds , stone circles and settlements -- until late in the bronze age they were rich farmlands , then a change in the climate caused the skies to cloud over and rain to wash the goodness from the soil .	they can be bleak and eerie , often very exposed , often covered with antiquity like bronze age burial mound , stone circle and settlement -- until late in the bronze age they be rich farmland , then a change in the climate cause the sky to cloud over and rain to wash the goodness from the soil .	3;NOM;PL;PRO FIN;V NFIN;V ADJ CONJ ADJ _ ADV ADV ADJ _ ADV ADJ ADP N;PL ADP N;SG N;SG N;SG N;PL _ N;SG N;PL CONJ N;PL _ ADP ADV ADP DEF;DET N;SG N;SG 3;NOM;PL;PRO FIN;IND;PST;V ADJ N;PL _ ADV DET;INDF N;SG ADP DEF;DET N;SG FIN;IND;PST;V DEF;DET N;PL PART NFIN;V ADV CONJ N;SG PART NFIN;V DEF;DET N;SG ADP DEF;DET N;SG _
lizzie	lizzie	PROPN;SG
" empirical research pointed to climate as being a strong driver , " she said .	" empirical research point to climate as be a strong driver , " she say .	_ ADJ N;SG FIN;IND;PST;V ADP N;SG CONJ V;V.MSDR DET;INDF ADJ N;SG _ _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V _
ed ,	ed ,	PROPN;SG _
is it safe to go to rotarua , since the earthquakes ?	be it safe to go to rotarua , since the earthquake ?	3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG ADJ PART NFIN;V ADP PROPN;SG _ ADP DEF;DET N;PL _
if you have not begun the application process's now < you are about 2 to 3 years away from being approved by immigration canada .	if you have not begin the application process' now < you be about 2 to 3 year away from be approve by immigration canada .	CONJ 2;NOM;PRO FIN;IND;PRS;V PART PST;V;V.PTCP DEF;DET N;SG N;PL ADV _ 2;NOM;PRO FIN;IND;PRS;V ADV NUM ADP NUM N;PL ADV CONJ V;V.MSDR PASS;PST;V;V.PTCP ADP PROPN;SG PROPN;SG _
i started this page to help with my boredom .	i start this page to help with my boredom .	1;NOM;PRO;SG FIN;IND;PST;V DET;SG N;SG PART NFIN;V ADP 1;PRO;SG N;SG _
the company has developed an entirely new category of products .	the company have develop a entirely new category of product .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF ADV ADJ N;SG ADP N;PL _
oracle	oracle	PROPN;SG
president bush loves him .	president bush love he .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V 3;ACC;MASC;PRO;SG _
best wishes	best wish	ADJ;RL N;PL
visualizations as a helpful beginning technique	visualization as a helpful begin technique	N;PL ADP DET;INDF ADJ V;V.MSDR N;SG
in my opinion , people can no longer afford to partition out and compartmentalize personal spiritual and political systems .	in my opinion , people can no longer afford to partition out and compartmentalize personal spiritual and political system .	ADP 1;PRO;SG N;SG _ N;PL FIN;V ADV ADV;CMPR NFIN;V PART NFIN;V ADP CONJ NFIN;V ADJ ADJ CONJ ADJ N;PL _
let me add some additional info .	let i add some additional info .	FIN;IMP;V 1;ACC;PRO;SG NFIN;V DET ADJ N;SG _
he believed that the koran instructed that a jihadist should use the weapons used by the crusader .	he believe that the koran instruct that a jihadist should use the weapon use by the crusader .	3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ DEF;DET PROPN;SG FIN;IND;PST;V CONJ DET;INDF N;SG FIN;V NFIN;V DEF;DET N;PL PST;V;V.PTCP ADP DEF;DET N;SG _
he knows what he s doing .	he know what he be do .	3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PRO 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP _
the new italian kid on the block	the new italian kid on the block	DEF;DET ADJ ADJ N;SG ADP DEF;DET N;SG
worms ( and daphnia ) are also rich in lipids , substances important in forming eggs and growing young .	worm ( and daphnia ) be also rich in lipid , substance important in form egg and grow young .	N;PL _ CONJ N;SG _ FIN;IND;PRS;V ADV ADJ ADP N;PL _ N;PL ADJ CONJ V;V.MSDR N;PL CONJ V;V.MSDR N;PL _
but let me know if i can spend a day , morning , or even just an afternoon down there with you whenever it is a good time .	but let i know if i can spend a day , morning , or even just a afternoon down there with you whenever it be a good time .	CONJ FIN;IMP;V 1;ACC;PRO;SG NFIN;V CONJ 1;NOM;PRO;SG FIN;V NFIN;V DET;INDF N;SG _ N;SG _ CONJ ADV ADV DET;INDF N;SG ADV ADV ADP 2;ACC;PRO ADV 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _
make sure to put oily sauces on your food to make it moist !	make sure to put oily sauce on you food to make it moist !	FIN;IMP;V ADJ PART NFIN;V ADJ N;PL ADP 2;PRO N;SG PART NFIN;V 3;NEUT;NOM;PRO;SG ADJ _
i ca n't remember if you guys could do it or not .	i can not remember if you guy could do it or not .	1;NOM;PRO;SG FIN;V PART NFIN;V CONJ 2;NOM;PRO N;PL FIN;V NFIN;V 3;ACC;NEUT;PRO;SG CONJ PART _
ironically sometimes it is wise to leave the newly picked eggs in fresh tap water with some chlorination to kill microscopic critters that ride in with the eggs .	ironically sometimes it be wise to leave the newly pick egg in fresh tap water with some chlorination to kill microscopic critter that ride in with the egg .	ADV ADV 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V DEF;DET ADV PST;V;V.PTCP N;PL ADP ADJ N;SG N;SG ADP DET N;SG PART NFIN;V ADJ N;PL PRO FIN;IND;PRS;V ADV ADP DEF;DET N;PL _
best meat pies in canada	best meat pie in canada	ADJ;RL N;SG N;PL ADP PROPN;SG
if she continues !	if she continue !	CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _
cheers	cheer	N;PL
sara	sara	PROPN;SG
he said the main aim of the subpoenas will be to determine whether collusion occurred to " fix " prices , which would violate federal trade laws .	he say the main aim of the subpoena will be to determine whether collusion occur to " fix " price , which would violate federal trade law .	3;MASC;NOM;PRO;SG FIN;IND;PST;V DEF;DET ADJ N;SG ADP DEF;DET N;PL FIN;V NFIN;V PART NFIN;V CONJ N;SG FIN;IND;PST;V PART _ NFIN;V _ N;PL _ PRO FIN;V NFIN;V ADJ N;SG N;PL _
why were they suddenly acted on saturday ?	why be they suddenly act on saturday ?	ADV FIN;IND;PST;V 3;NOM;PL;PRO ADV PASS;PST;V;V.PTCP ADP PROPN;SG _
durer dies : april 6 , 1528 monday	durer die : april 6 , 1528 monday	PROPN;SG 3;FIN;IND;PRS;SG;V _ PROPN;SG NUM _ NUM PROPN;SG
we stopped in and got some take out and can not stop going back .	we stop in and get some take out and can not stop go back .	1;NOM;PL;PRO FIN;IND;PST;V ADV CONJ FIN;IND;PST;V DET N;SG N;SG CONJ FIN;V PART NFIN;V V;V.MSDR ADV _
i did n't realize how much " stuff " you could pack into a one bedroom apartment .	i do not realize how much " stuff " you could pack into a one bedroom apartment .	1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V ADV ADJ _ N;SG _ 2;NOM;PRO FIN;V NFIN;V ADP DET;INDF NUM N;SG N;SG _
from the outside ichiban looks like it will be terrible .	from the outside ichiban look like it will be terrible .	ADP DEF;DET N;SG PROPN;SG 3;FIN;IND;PRS;SG;V CONJ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V ADJ _
paula	paula	PROPN;SG
i have this exact cage , bought from the exact ebay user .	i have this exact cage , buy from the exact ebay user .	1;NOM;PRO;SG FIN;IND;PRS;V DET;SG ADJ N;SG _ PST;V;V.PTCP ADP DEF;DET ADJ PROPN;SG N;SG _
i would do the tupperwear idea tbh - easiest and most humane .	i would do the tupperwear idea tbh - easiest and most humane .	1;NOM;PRO;SG FIN;V NFIN;V DEF;DET N;SG N;SG ADV _ ADJ;RL CONJ ADV ADJ _
outsourcing these responsibilities would be a wise alternative , considering the accomplishments of the private sector regarding the space elevator .	outsource these responsibility would be a wise alternative , consider the accomplishment of the private sector regard the space elevator .	V;V.MSDR DET;PL N;PL FIN;V NFIN;V DET;INDF ADJ N;SG _ V;V.MSDR DEF;DET N;PL ADP DEF;DET ADJ N;SG V;V.MSDR DEF;DET N;SG N;SG _
not owners that seem like they have something to hide and know nothing about common courtesy and customer service .	not owner that seem like they have something to hide and know nothing about common courtesy and customer service .	PART N;PL PRO FIN;IND;PRS;V CONJ 3;NOM;PL;PRO FIN;IND;PRS;V PRO;SG PART NFIN;V CONJ FIN;IND;PRS;V PRO;SG ADP ADJ N;SG CONJ N;SG N;SG _
have no idea what kind of restaurant this is or where it is .	have no idea what kind of restaurant this be or where it be .	FIN;IND;PRS;V DET N;SG DET N;SG ADP N;SG PRO;SG 3;FIN;IND;PRS;SG;V CONJ ADV 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _
300 - number of clean water act violations by the mountaintop - mining industry in 2003 .	300 - number of clean water act violation by the mountaintop - mining industry in 2003 .	NUM _ N;SG ADP PROPN;SG PROPN;SG PROPN;SG N;PL ADP DEF;DET N;SG _ N;SG N;SG ADP NUM _
5765 - ntkb	5765 - ntkb	NUM _ N;SG
as we discussed , here is a first effort at a revised tva offer letter .	as we discuss , here be a first effort at a revise tva offer letter .	CONJ 1;NOM;PL;PRO FIN;IND;PST;V _ ADV 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP DET;INDF PST;V;V.PTCP N;SG N;SG N;SG _
3 . the syrian connection	3 . the syrian connection	_ _ DEF;DET ADJ N;SG
feb 2005 is the projected release date , although guild wars is made by ex-members of blizzard , so feb 2005 could mean august 2006 ...	feb 2005 be the project release date , although guild wars be make by ex-member of blizzard , so feb 2005 could mean august 2006 ...	PROPN;SG NUM 3;FIN;IND;PRS;SG;V DEF;DET PST;V;V.PTCP N;SG N;SG _ CONJ PROPN;SG PL;PROPN 3;FIN;IND;PRS;SG;V PASS;PST;V;V.PTCP ADP N;PL ADP PROPN;SG _ ADV PROPN;SG NUM FIN;V NFIN;V PROPN;SG NUM _
if you want a little cajunish food - it is good .	if you want a little cajunish food - it be good .	CONJ 2;NOM;PRO FIN;IND;PRS;V DET;INDF N;SG ADJ N;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
i was reading the package for a tank heater i bought for my 40 gallon tank for my snake and it said it can be put under the tank or on the side .	i be read the package for a tank heater i buy for my 40 gallon tank for my snake and it say it can be put under the tank or on the side .	1;NOM;PRO;SG 3;FIN;IND;PST;SG;V V;V.MSDR DEF;DET N;SG ADP DET;INDF N;SG N;SG 1;NOM;PRO;SG FIN;IND;PST;V ADP 1;PRO;SG NUM N;SG N;SG ADP 1;PRO;SG N;SG CONJ 3;NEUT;NOM;PRO;SG FIN;IND;PST;V 3;NEUT;NOM;PRO;SG FIN;V NFIN;V PST;V;V.PTCP ADP DEF;DET N;SG CONJ ADP DEF;DET N;SG _
maybe you should ignore the sentiment of the quote i sent earlier ...	maybe you should ignore the sentiment of the quote i send earlier ...	ADV 2;NOM;PRO FIN;V NFIN;V DEF;DET N;SG ADP DEF;DET N;SG 1;NOM;PRO;SG FIN;IND;PST;V ADV _
did she ever go to a real doctor ?	do she ever go to a real doctor ?	FIN;IND;PST;V 3;FEM;NOM;PRO;SG ADV NFIN;V ADP DET;INDF ADJ N;SG _
according to the pakistan reports , aafia siddiqui was detained after being spotted at karachi international airport ( after she was followed to a relative 's house ) .	accord to the pakistan report , aafia siddiqui be detain after be spot at karachi international airport ( after she be follow to a relative 's house ) .	V;V.MSDR ADP DEF;DET PROPN;SG N;PL _ PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V PASS;PST;V;V.PTCP CONJ V;V.MSDR PASS;PST;V;V.PTCP ADP PROPN;SG PROPN;SG PROPN;SG _ CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V PASS;PST;V;V.PTCP ADP DET;INDF N;SG PART N;SG _ _
scheduled appointment for 8:30 monday morning .	schedule appointment for 8:30 monday morning .	PST;V;V.PTCP N;SG ADP NUM PROPN;SG N;SG _
i would recommend that you get two parakeets .	i would recommend that you get two parakeet .	1;NOM;PRO;SG FIN;V NFIN;V CONJ 2;NOM;PRO FIN;IND;PRS;V NUM N;PL _
aka nowheresville .	aka nowheresville .	ADV PROPN;SG _
crackdown on polygamy group	crackdown on polygamy group	N;SG ADP N;SG N;SG
