шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
дрилем зробив 100 дірок .	дриль зробити 100 дірка .	INAN;INS;MASC;N;SG FIN;IND;MASC;PFV;PST;SG;V ACC;NUM FEM;GEN;INAN;N;PL _
3 .	3 .	NOM;NUM _
вінстон різко отямив себе та сів пряміше .	вінстон різко отямити себе та сісти пряміше .	ANIM;MASC;NOM;PROPN;SG ADV FIN;IND;MASC;PFV;PST;SG;V ACC;PRO;REFL CONJ FIN;IND;MASC;PFV;PST;SG;V ADV;CMPR _
2007-го здобув ступінь магістра політичних наук того самого вишу .	2007-ий здобути ступінь магістр політичний наука той самий виш .	GEN;INAN;MASC;N;SG FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL DET;GEN;MASC;SG DET;GEN;MASC;REFL;SG GEN;INAN;MASC;N;SG _
щоліта ми з дітьми живемо у делятинській хаті на горі .	щоліта ми з дитина жити у делятинський хата на гора .	ADV 1;ANIM;NOM;PL;PRO ADP;INS ANIM;FEM;INS;N;PL 1;FIN;IND;IPFV;PL;PRS;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;SG _
у дельфінарії в різні роки утримувалося від 4 до 6 дельфінів походженням з чорного моря та тихого океану , морські леви та морські котики .	у дельфінарій в різний рік утримуватися від 4 до 6 дельфін походження з чорний море та тихий океан , морський лев та морський котик .	ADP;ESS ESS;INAN;MASC;N;SG ACC;ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL FIN;IND;IPFV;NEUT;PST;SG;V ADP;GEN GEN;NUM ADP;GEN GEN;NUM ANIM;GEN;MASC;N;PL INAN;INS;N;NEUT;SG ADP;GEN ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG CONJ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ADJ;NOM;PL ANIM;MASC;N;NOM;PL CONJ ADJ;NOM;PL ANIM;MASC;N;NOM;PL _
біля річки ( південна частина водойми ) глибина складає 1 . 5 метри і поступово переходить на міль .	біля річка ( південний частина водойма ) глибина складати 1 . 5 метр і поступово переходити на міль .	ADP;GEN FEM;GEN;INAN;N;SG _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG _ FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;NUM;PL _ ACC;NUM ACC;INAN;MASC;N;PL CONJ ADV 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;FEM;INAN;N;SG _
тої ночі п’яний ростовський гість порізав руку франківському злодієві .	той ніч п’яний ростовський гість порізати рука франківський злодій .	DET;FEM;GEN;SG FEM;GEN;INAN;N;SG ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ACC;FEM;INAN;N;SG ADJ;DAT;MASC;SG ANIM;DAT;MASC;N;SG _
для забезпечення вилову та тимчасової ізоляції собак , котів та інших домашніх тварин органами місцевого самоврядування можуть створюватися комунальні служби або підприємства з питань утримання та поводження з тваринами в населених пунктах відповідно до місцевих програм регулювання чисельності тварин у населених пунктах .	для забезпечення вилов та тимчасовий ізоляція собака , кіт та інший домашній тварина орган місцевий самоврядування могти створюватися комунальний служба або підприємство з питання утримання та поводження з тварина в населений пункт відповідно до місцевий програма регулювання чисельність тварина у населений пункт .	ADP;GEN GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;GEN;MASC;N;PL _ ANIM;GEN;MASC;N;PL CONJ DET;GEN;PL ADJ;GEN;PL ANIM;FEM;GEN;N;PL INAN;INS;MASC;N;PL ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PL;PRS;V IPFV;NFIN;V ADJ;NOM;PL FEM;INAN;N;NOM;PL CONJ INAN;N;NEUT;NOM;PL ADP;GEN GEN;INAN;N;NEUT;PL GEN;INAN;N;NEUT;SG CONJ GEN;INAN;N;NEUT;SG ADP;INS ANIM;FEM;INS;N;PL ADP;ESS ADJ;ESS;PASS;PFV;PL;V.PTCP ESS;INAN;MASC;N;PL ADV ADP;GEN ADJ;GEN;PL FEM;GEN;INAN;N;PL GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG ANIM;FEM;GEN;N;PL ADP;ESS ADJ;ESS;PASS;PFV;PL;V.PTCP ESS;INAN;MASC;N;PL _
гори я ніколи не бачив намальованими .	гора я ніколи не бачити намальований .	ACC;FEM;INAN;N;PL 1;ANIM;NOM;PRO;SG ADV NEG;PART FIN;IND;IPFV;MASC;PST;SG;V ADJ;INS;PASS;PFV;PL;V.PTCP _
і що всі вони повернуться у карпати .	і що весь вони повернутися у карпати .	CONJ CONJ DET;NOM;PL 3;NOM;PL;PRO 3;FIN;FUT;IND;PFV;PL;V ACC;ADP ACC;INAN;PROPN _
на його домі .	на його дім .	ADP;ESS DET;ESS;MASC;SG ESS;INAN;MASC;N;SG _
ніхто з них не кидався до печі .	ніхто з вони не кидатися до піч .	ANIM;NOM;PRO ADP;GEN 3;GEN;PL;PRO NEG;PART FIN;IND;IPFV;MASC;PST;SG;V ADP;GEN FEM;GEN;INAN;N;SG _
щось таки добирається , щось іде стежечкою .	щось таки добиратися , щось іти стежечка .	INAN;NEUT;NOM;PRO;SG PART 3;FIN;IND;IPFV;PRS;SG;V _ INAN;NEUT;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V FEM;INAN;INS;N;SG _
« про таких , як я , колись казали — « світовий чоловік » .	« про такий , як я , колись казати — « світовий чоловік » .	_ ACC;ADP ACC;ANIM;DET;PL _ CONJ 1;ANIM;NOM;PRO;SG _ ADV FIN;IND;IPFV;PL;PST;V _ _ ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ _
мати були складені в кутку зали .	мат бути складений в куток зала .	INAN;MASC;N;NOM;PL FIN;IND;IPFV;PL;PST;V ADJ;NOM;PASS;PFV;PL;V.PTCP ADP;ESS ESS;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _
— здрастуйте , тітко .	— здрастувати , тітка .	_ 2;FIN;IMP;IPFV;PL;V _ ANIM;FEM;N;SG;VOC _
там утворилася зграйка таких , як він , малих волоцюжок .	там утворитися зграйка такий , як він , малий волоцюжка .	ADV FEM;FIN;IND;PFV;PST;SG;V FEM;INAN;N;NOM;SG DET;GEN;PL _ CONJ 3;MASC;NOM;PRO;SG _ ADJ;GEN;PL GEN;INAN;MASC;N;PL _
якщо там значиться “ pasterizant ” , значить , практично всі дріжджові клітини й бактерії в ньому вбиті .	якщо там значитися “ pasterizant ” , значити , практично весь дріжджовий клітина й бактерія в воно вбитий .	CONJ ADV 3;FIN;IND;IPFV;PRS;SG;V _ _ _ _ 3;FIN;IND;IPFV;PRS;SG;V _ ADV DET;NOM;PL ADJ;NOM;PL FEM;INAN;N;NOM;PL CONJ ANIM;FEM;N;NOM;PL ADP;ESS 3;ESS;NEUT;PRO;SG ADJ;NOM;PASS;PFV;PL;V.PTCP _
тим часом у . с . с . непорушно сиділи в своїх окопах , причому кропили ворога рясним вогнем і не виявили найменшої охоти послідувати за прикладом сусідів відділів .	той час у . с . с . непорушно сидіти в свій окоп , причому кропити ворог рясний вогонь і не виявити найменший охота послідувати за приклад сусід відділ .	DET;INS;MASC;SG INAN;INS;MASC;N;SG ADJ;NOM;PL _ ADJ;NOM;PL _ ANIM;MASC;N;NOM;PL _ ADV FIN;IND;IPFV;PL;PST;V ADP;ESS DET;ESS;PL;REFL ESS;INAN;MASC;N;PL _ CONJ FIN;IND;IPFV;PL;PST;V ACC;ANIM;MASC;N;SG ADJ;INS;MASC;SG INAN;INS;MASC;N;SG CONJ NEG;PART FIN;IND;PFV;PL;PST;V ADJ;FEM;GEN;RL;SG FEM;GEN;INAN;N;SG NFIN;PFV;V ADP;INS INAN;INS;MASC;N;SG ANIM;GEN;MASC;N;PL GEN;INAN;MASC;N;PL _
задля вашого комфорту , в рамках програми лояльності , ми створили domino’s pizza tracker , що б ви могли відслідковувати кожен етап вашого замовлення в режимі реального часу .	задля ваш комфорт , в рамка програма лояльність , ми створити domino’s pizza tracker , що б ви могти відслідковувати кожний етап ваш замовлення в режим реальний час .	ADP;GEN 2;DET;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ADP;ESS ESS;FEM;INAN;N;PL FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG _ 1;ANIM;NOM;PL;PRO FIN;IND;PFV;PL;PST;V _ _ _ _ CONJ PART 2;ANIM;NOM;PL;PRO FIN;IND;IPFV;PL;PST;V IPFV;NFIN;V ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG 2;DET;GEN;NEUT;SG GEN;INAN;N;NEUT;SG ADP;ESS ESS;INAN;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
тимчасовій ізоляції підлягають собаки , коти та інші домашні тварини в разі , якщо на це є відповідне рішення центральним органом виконавчої влади , що реалізує державну політику у сфері санітарного та епідемічного благополуччя населення , та центрального органу виконавчої влади , що реалізує державну політику у сфері ветеринарної медицини , а також ті , що завдали тілесних ушкоджень людині або іншій домашній тварині .	тимчасовий ізоляція підлягати собака , кіт та інший домашній тварина в раз , якщо на це бути відповідний рішення центральний орган виконавчий влада , що реалізувати державний політика у сфера санітарний та епідемічний благополуччя населення , та центральний орган виконавчий влада , що реалізувати державний політика у сфера ветеринарний медицина , а також той , що завдати тілесний ушкодження людина або інший домашній тварина .	ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG 3;FIN;IND;IPFV;PL;PRS;V ANIM;MASC;N;NOM;PL _ ANIM;MASC;N;NOM;PL CONJ DET;NOM;PL ADJ;NOM;PL ANIM;FEM;N;NOM;PL ADP;ESS ESS;INAN;MASC;N;SG _ CONJ ACC;ADP ACC;INAN;NEUT;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADJ;INS;MASC;SG INAN;INS;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;SG ADJ;GEN;NEUT;SG CONJ ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG _ CONJ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ CONJ ADV ACC;DET;INAN;PL _ CONJ FIN;IND;PFV;PL;PST;V ADJ;GEN;PL GEN;INAN;N;NEUT;PL ANIM;DAT;FEM;N;SG CONJ DAT;DET;FEM;SG ADJ;DAT;FEM;SG ANIM;DAT;FEM;N;SG _
україна кличе вас , наші браття - сусіди , до цього великого діла .	україна кликати ви , наш браття - сусід , до цей великий діло .	FEM;INAN;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V 2;ACC;ANIM;PL;PRO _ 1;DET;PL;VOC ANIM;N;VOC _ ANIM;MASC;N;PL;VOC _ ADP;GEN DET;GEN;NEUT;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _
ооо , а я читаю це якраз в дорозі назад в київ ( сережка постійно в гаманці з собою )	ооо , а я читати це якраз в дорога назад в київ ( сережка постійно в гаманець з себе )	INTJ _ CONJ 1;ANIM;NOM;PRO;SG 1;FIN;IND;IPFV;PRS;SG;V ACC;INAN;NEUT;PRO;SG PART ADP;ESS ESS;FEM;INAN;N;SG ADV ACC;ADP ACC;INAN;MASC;PROPN;SG _ FEM;INAN;N;NOM;SG ADV ADP;ESS ESS;INAN;MASC;N;SG ADP;INS INS;PRO;REFL _
у такий спосіб банк отримав унікальний досвід бюджетування підприємства .	у такий спосіб банк отримати унікальний досвід бюджетування підприємство .	ACC;ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG INAN;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG _
дідової дочки баба не любила .	дідовий дочка баба не любити .	ADJ;FEM;GEN;SG ANIM;FEM;GEN;N;SG ANIM;FEM;N;NOM;SG NEG;PART FEM;FIN;IND;IPFV;PST;SG;V _
будь-який пиволюб знає також , що пиво буває свіже й пастеризоване .	будь-який пиволюб знати також , що пиво бувати свіжий й пастеризований .	DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADV _ CONJ INAN;N;NEUT;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADJ;NEUT;NOM;SG CONJ ADJ;NEUT;NOM;PASS;PFV;SG;V.PTCP _
7 .	7 .	NOM;NUM _
частенько відвідую сайти знайомств , так от 70 % жінок там , з байстрюками .	частенько відвідувати сайт знайомство , так от 70 % жінка там , з байстрюк .	ADV 1;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;PL GEN;INAN;N;NEUT;PL _ PART PART NOM;NUM GEN;INAN;MASC;N;PL ANIM;FEM;GEN;N;PL ADV _ ADP;INS ANIM;INS;MASC;N;PL _
за 20 років назбиралася ціла бібліотека мемуарної літератури , цілком достатня для того , щоб здивувати прозаїків , які підживлюються західною літературою жахів .	за 20 рік назбиратися цілий бібліотека мемуарний література , цілком достатній для те , щоб здивувати прозаїк , який підживлюватися західний література жах .	ACC;ADP ACC;NUM GEN;INAN;MASC;N;PL FEM;FIN;IND;PFV;PST;SG;V ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ADV ADJ;FEM;NOM;SG ADP;GEN GEN;INAN;NEUT;PRO;SG _ CONJ NFIN;PFV;V ACC;ANIM;MASC;N;PL _ DET;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V ADJ;FEM;INS;SG FEM;INAN;INS;N;SG GEN;INAN;MASC;N;PL _
багато матеріялу , що міг би стати до помочи літературній мові , чекає ще свого досліду : через брак часу я неспроможна була використати все те , що повинно б мати місце в « увагах » .	багато матеріял , що могти би стати до поміч літературний мова , чекати ще свій дослід : через брак час я неспроможний бути використати весь те , що повинний б мати місце в « увага » .	ADV GEN;INAN;MASC;N;SG _ CONJ FIN;IND;IPFV;MASC;PST;SG;V COND;V NFIN;PFV;V ADP;GEN FEM;GEN;INAN;N;SG ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADV DET;GEN;MASC;REFL;SG GEN;INAN;MASC;N;SG _ ACC;ADP ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG 1;ANIM;NOM;PRO;SG ADJ;FEM;NOM;SG FEM;FIN;IND;IPFV;PST;SG;V NFIN;PFV;V ACC;DET;NEUT;SG ACC;INAN;NEUT;PRO;SG _ CONJ ADJ;NEUT;NOM;SG COND;V IPFV;NFIN;V ACC;INAN;N;NEUT;SG ADP;ESS _ ESS;FEM;INAN;N;PL _ _
наприклад , можна отримати потужний велокомп'ютер чи браслет - трекер , чи новий набір зірочок - на свій вибір :)	наприклад , можна отримати потужний велокомп’ютер чи браслет - трекер , чи новий набір зірочка - на свій вибір :)	ADV _ ADV NFIN;PFV;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG CONJ ACC;INAN;MASC;N;SG _ ACC;INAN;MASC;N;SG _ CONJ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;PL _ ACC;ADP ACC;DET;INAN;MASC;REFL;SG ACC;INAN;MASC;N;SG _
наприкінці року у себастьяна феттеля закінчується контракт з ferrari , але продовження контракту поки не відноситься до числа пріоритетних завдань .	наприкінці рік у себастьян феттель закінчуватися контракт з ferrari , але продовження контракт поки не відноситися до число пріоритетний завдання .	ADP;GEN GEN;INAN;MASC;N;SG ADP;GEN ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;MASC;N;NOM;SG ADP;INS _ _ CONJ INAN;N;NEUT;NOM;SG GEN;INAN;MASC;N;SG ADV NEG;PART 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN GEN;INAN;N;NEUT;SG ADJ;GEN;PL GEN;INAN;N;NEUT;PL _
ціле життя її підбите око світилося інакше .	цілий життя її підбитий око світитися інакше .	ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG 3;DET;NEUT;NOM;SG ADJ;NEUT;NOM;PASS;PFV;SG;V.PTCP INAN;N;NEUT;NOM;SG FIN;IND;IPFV;NEUT;PST;SG;V ADV _
очі .	око .	INAN;N;NEUT;NOM;PL _
все , що залишиться ( якщо залишиться ) , може правити за мовні інновації , відбиті в пам’ятці .	все , що залишитися ( якщо залишитися ) , могти правити за мовний інновація , відбитий в пам’ятка .	INAN;NEUT;NOM;PRO;SG _ CONJ 3;FIN;FUT;IND;PFV;SG;V _ CONJ 3;FIN;FUT;IND;PFV;SG;V _ _ 3;FIN;IND;IPFV;PRS;SG;V IPFV;NFIN;V ACC;ADP ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ ACC;ADJ;INAN;PASS;PFV;PL;V.PTCP ADP;ESS ESS;FEM;INAN;N;SG _
ми його забрали у вартове приміщення і гріли й годували кілька днів , заки бузьок полетів далі .	ми він забрати у вартовий приміщення і гріти й годувати кілька день , заки бузьок полетіти далі .	1;ANIM;NOM;PL;PRO 3;ACC;MASC;PRO;SG FIN;IND;PFV;PL;PST;V ACC;ADP ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG CONJ FIN;IND;IPFV;PL;PST;V CONJ FIN;IND;IPFV;PL;PST;V ACC;DET GEN;INAN;MASC;N;PL _ CONJ INAN;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ADV _
черевики для них виготовляли з автомобільних шин .	черевик для вони виготовляти з автомобільний шина .	ACC;INAN;MASC;N;PL ADP;GEN 3;GEN;PL;PRO FIN;IND;IPFV;PL;PST;V ADP;GEN ADJ;GEN;PL FEM;GEN;INAN;N;PL _
британська авіація усе навколо бомбить .	британський авіація усе навколо бомбити .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ACC;INAN;NEUT;PRO;SG ADV 3;FIN;IND;IPFV;PRS;SG;V _
виявляється , можна : люди купують по декілька примірників книжок і дарують на свято .	виявлятися , можна : людина купувати по декілька примірник книжка і дарувати на свято .	3;FIN;IND;IPFV;PRS;SG;V _ ADV _ ANIM;FEM;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V ACC;ADP ACC;DET GEN;INAN;MASC;N;PL FEM;GEN;INAN;N;PL CONJ 3;FIN;IND;IPFV;PL;PRS;V ACC;ADP ACC;INAN;N;NEUT;SG _
піднімає очі : баку .	піднімати око : баку .	3;FIN;IND;IPFV;PRS;SG;V ACC;INAN;N;NEUT;PL _ INAN;NEUT;NOM;PROPN;SG _
але інколи потрібно , щоб під час копіювання формул певні посилання не модифікувалися .	але інколи потрібно , щоб під час копіювання формула певний посилання не модифікуватися .	CONJ ADV ADV _ CONJ ACC;ADP ACC;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;PL ADJ;NOM;PL INAN;N;NEUT;NOM;PL NEG;PART FIN;IND;IPFV;PL;PST;V _
« з початку року ( станом на 22 : 00 20 березня ) підрозділи оперативно - рятувальної служби закарпатської області в екосистемах краю ліквідували 211 пожеж .	« з початок рік ( стан на 22 : 00 20 березень ) підрозділ оперативний - рятувальний служба закарпатський область в екосистема край ліквідувати 211 пожежа .	_ ADP;GEN GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _ INAN;INS;MASC;N;SG ACC;ADP ACC;ADJ;FEM;SG _ ACC;NUM ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ INAN;MASC;N;NOM;PL ADJ _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADP;ESS ESS;FEM;INAN;N;PL GEN;INAN;MASC;N;SG FIN;IND;PFV;PL;PST;V ACC;NUM FEM;GEN;INAN;N;PL _
стояла ясна та прохолодна квітнева днина , на годинниках пробило тринадцяту годину .	стояти ясний та прохолодний квітневий днина , на годинник пробити тринадцятий година .	FEM;FIN;IND;IPFV;PST;SG;V ADJ;FEM;NOM;SG CONJ ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ ADP;ESS ESS;INAN;MASC;N;PL FIN;IND;NEUT;PFV;PST;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
дослідження складових ґрунту спочатку принесло нове розчарування : по всій поверхні « хворих » стулок були виявлені цинкові білила , які в живописі почали використовувати в xix столітті замість традиційних свинцевих .	дослідження складова ґрунт спочатку принести новий розчарування : по весь поверхня « хворий » стулка бути виявлений цинковий білило , який в живопис почати використовувати в xix століття замість традиційний свинцевий .	INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;PL GEN;INAN;MASC;N;SG ADV FIN;IND;NEUT;PFV;PST;SG;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG _ ADP;ESS DET;ESS;FEM;SG ESS;FEM;INAN;N;SG _ ADJ;GEN;PL _ FEM;GEN;INAN;N;PL FIN;IND;IPFV;PL;PST;V ADJ;NOM;PASS;PFV;PL;V.PTCP ADJ;NOM;PL INAN;N;NEUT;NOM;PL _ ACC;DET;INAN;PL ADP;ESS ESS;INAN;MASC;N;SG FIN;IND;PFV;PL;PST;V IPFV;NFIN;V ADP;ESS ADJ;ESS;NEUT;SG ESS;INAN;N;NEUT;SG ADP;GEN ADJ;GEN;PL ADJ;GEN;PL _
ханенківську версію портрета підписано , і підпис цей є автентичним .	ханенківський версія портрет підписати , і підпис цей бути автентичний .	ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG 0;FIN;IND;PFV;V _ CONJ INAN;MASC;N;NOM;SG DET;MASC;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADJ;INS;MASC;SG _
чоловікові досить глянути на жінку , тернутися об неї або притулитися , і він уже ладен до статевого акту , який сповна його задовольняє .	чоловік досить глянути на жінка , тернутися об вона або притулитися , і він уже ладний до статевий акт , який сповна він задовольняти .	ANIM;DAT;MASC;N;SG ADV NFIN;PFV;V ACC;ADP ACC;ANIM;FEM;N;SG _ NFIN;PFV;V ACC;ADP 3;ACC;FEM;PRO;SG CONJ NFIN;PFV;V _ CONJ 3;MASC;NOM;PRO;SG ADV ADJ;MASC;NOM;SG ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ DET;MASC;NOM;SG ADV 3;ACC;MASC;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V _
десь за рік у відпустку після угорщини приїхав один родич - офіцер .	десь за рік у відпустка після угорщина приїхати один родич - офіцер .	PART ACC;ADP ACC;INAN;MASC;N;SG ACC;ADP ACC;FEM;INAN;N;SG ADP;GEN FEM;GEN;INAN;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;SG _
тимченкова книжка , що в ній близько 70 сторінок відведено фонології , відзначалася атомістичним викладом , типовим для молодограматичної школи : зміни кожного звука представлено в ізоляції від інших ; часові й територіальні характеристики майже не враховуються , нечисленні спроби хронологічного аналізу є непевними через брак критичного підходу до матеріалу пам’яток .	тимченків книжка , що в вона близько 70 сторінка відвести фонологія , відзначатися атомістичний виклад , типовий для молодограматичний школа : зміна кожний звук представити в ізоляція від інший ; часовий й територіальний характеристика майже не враховуватися , нечисленний спроба хронологічний аналіз бути непевний через брак критичний підхід до матеріал пам’ятка .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ CONJ ADP;ESS 3;ESS;FEM;PRO;SG ADP;GEN GEN;NUM FEM;GEN;INAN;N;PL 0;FIN;IND;PFV;V DAT;FEM;INAN;N;SG _ FEM;FIN;IND;IPFV;PST;SG;V ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ ADJ;INS;MASC;SG ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ACC;FEM;INAN;N;PL DET;GEN;MASC;SG GEN;INAN;MASC;N;SG 0;FIN;IND;PFV;V ADP;ESS ESS;FEM;INAN;N;SG ADP;GEN DET;GEN;PL _ ADJ;NOM;PL CONJ ADJ;NOM;PL FEM;INAN;N;NOM;PL ADV NEG;PART 3;FIN;IND;IPFV;PL;PRS;V _ ADJ;NOM;PL FEM;INAN;N;NOM;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG 3;FIN;IND;IPFV;PL;PRS;V ADJ;INS;PL ACC;ADP ACC;INAN;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADP;GEN GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;PL _
отримується продукт , в якому все – мертве .	отримуватися продукт , в який все – мертвий .	3;FIN;IND;IPFV;PRS;SG;V INAN;MASC;N;NOM;SG _ ADP;ESS DET;ESS;MASC;SG INAN;NEUT;NOM;PRO;SG _ ADJ;NEUT;NOM;SG _
у столиці австро - угорської імперії юнаки перш за все купують путівник і беруться оглядати місто .	у столиця австро - угорський імперія юнак перш за все купувати путівник і братися оглядати місто .	ADP;ESS ESS;FEM;INAN;N;SG ADJ _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;MASC;N;NOM;PL ADV ACC;ADP ACC;INAN;NEUT;PRO;SG 3;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;SG CONJ 3;FIN;IND;IPFV;PL;PRS;V IPFV;NFIN;V ACC;INAN;N;NEUT;SG _
тут усі слова зайві .	тут увесь слово зайвий .	ADV DET;NOM;PL INAN;N;NEUT;NOM;PL ADJ;NOM;PL _
їхні назви не випадкові і пов’язані з населеними пунктами ( часто невеличкими селами ) , біля яких було виявлено мінеральні джерела , — свалява , кваси , поляна , шаян .	їхній назва не випадковий і пов’язаний з населений пункт ( часто невеличкий село ) , біля який бути виявити мінеральний джерело , — свалява , кваси , поляна , шаян .	3;DET;NOM;PL FEM;INAN;N;NOM;PL NEG;PART ADJ;NOM;PL CONJ ADJ;NOM;PASS;PFV;PL;V.PTCP ADP;INS ADJ;INS;PASS;PFV;PL;V.PTCP INAN;INS;MASC;N;PL _ ADV ADJ;INS;PL INAN;INS;N;NEUT;PL _ _ ADP;GEN DET;GEN;PL FIN;IND;IPFV;NEUT;PST;SG;V 0;FIN;IND;PFV;V ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL _ _ FEM;INAN;NOM;PROPN;SG _ INAN;NOM;PROPN _ FEM;INAN;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _
