занимает площадь 352,658 км2 .	занимать площадь 352,658 км2 .	3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG NOM;NUM GEN;INAN;MASC;N;PL _
в руководстве партии заявили об уважении его личного выбора , но отметили , что уход такого опытного политика -- большая потеря для псп .	в руководство партия заявить об уважение его личной выбор , но отметить , что уход такой опытный политик -- большой потеря для псп .	ADP ESS;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG FIN;IND;PFV;PL;PST;V ADP ESS;INAN;N;NEUT;SG 3;DET ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ CONJ FIN;IND;PFV;PL;PST;V _ CONJ INAN;MASC;N;NOM;SG ANIM;DET;GEN;MASC;SG ADJ;ANIM;GEN;MASC;SG ANIM;GEN;MASC;N;SG _ ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG ADP FEM;GEN;INAN;PROPN;SG _
этот кубок стал седьмым для марибора .	этот кубок стать седьмой для марибор .	DET;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ADJ;INAN;INS;MASC;SG ADP GEN;INAN;MASC;PROPN;SG _
обитает в южных районах внутренней австралии .	обитать в южный район внутренний австралия .	3;FIN;IND;IPFV;PRS;SG;V ADP ADJ;ESS;INAN;PL ESS;INAN;MASC;N;PL ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;PROPN;SG _
андрей иванович заливчий ( , село мельницы , ныне зеньковского района полтавской области , , чернигов ) , украинский политический деятель и писатель .	андрей иванович заливчий ( , село мельница , ныне зеньковский район полтавский область , , чернигов ) , украинский политический деятель и писатель .	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ _ INAN;N;NEUT;NOM;SG FEM;INAN;NOM;PL;PROPN _ ADV ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ _ INAN;MASC;NOM;PROPN;SG _ _ ADJ;ANIM;MASC;NOM;SG ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG CONJ ANIM;MASC;N;NOM;SG _
они говорили , предположительно , на гойдельских языках , на староанглийском , на языке франков и на валлийском , равно как и на латыни .	они говорить , предположительно , на гойдельский язык , на староанглийский , на язык франк и на валлийский , равно как и на латынь .	3;NOM;PL;PRO FIN;IND;IPFV;PL;PST;V _ ADV _ ADP ADJ;ESS;INAN;PL ESS;INAN;MASC;N;PL _ ADP ADJ;ESS;INAN;MASC;SG _ ADP ESS;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL CONJ ADP ADJ;ESS;INAN;MASC;SG _ ADV CONJ CONJ ADP ESS;FEM;INAN;N;SG _
куэ́льяр ( ) -- муниципалитет в испании , входит в провинцию сеговия в составе автономного сообщества кастилия и леон .	куэльяр ( ) -- муниципалитет в испания , входить в провинция сеговия в состав автономный сообщество кастилия и леон .	INAN;MASC;NOM;PROPN;SG _ _ _ INAN;MASC;N;NOM;SG ADP ESS;FEM;INAN;PROPN;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP ACC;FEM;INAN;N;SG FEM;INAN;NOM;PROPN;SG ADP ESS;INAN;MASC;N;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG FEM;INAN;NOM;PROPN;SG CONJ INAN;MASC;NOM;PROPN;SG _
преступлением , за которое симмонса приговорили к смертной казни , было убийство некой ширли крук .	преступление , за который симмонс приговорить к смертный казнь , быть убийство некий ширли крук .	INAN;INS;N;NEUT;SG _ ADP ACC;INAN;NEUT;PRO;SG ACC;ANIM;MASC;PROPN;SG FIN;IND;PFV;PL;PST;V ADP ADJ;DAT;FEM;INAN;SG DAT;FEM;INAN;N;SG _ FIN;IND;IPFV;NEUT;PST;SG;V INAN;N;NEUT;NOM;SG ANIM;DET;FEM;GEN;SG ANIM;FEM;GEN;PROPN;SG ANIM;FEM;GEN;PROPN;SG _
они сказали мне , что им очень понравилось мое выступление .	они сказать я , что они очень понравиться мой выступление .	3;NOM;PL;PRO FIN;IND;PFV;PL;PST;V 1;DAT;PRO;SG _ CONJ 3;DAT;PL;PRO ADV FIN;IND;MID;NEUT;PFV;PST;SG;V 1;DET;INAN;NEUT;NOM;SG INAN;N;NEUT;NOM;SG _
он обратился за помощью к своему племяннику джону `` лису &#39;&#39; торрио , которого привез в чикаго из бруклина и сделал вторым в своей команде .	он обратиться за помощь к свой племянник джон `` лис &#39;&#39; торрио , который привезти в чикаго из бруклин и сделать второй в свой команда .	3;MASC;NOM;PRO;SG FIN;IND;MASC;MID;PFV;PST;SG;V ADP FEM;INAN;INS;N;SG ADP ANIM;DAT;DET;MASC;REFL;SG ANIM;DAT;MASC;N;SG ANIM;DAT;MASC;PROPN;SG _ ANIM;DAT;MASC;N;SG _ ANIM;DAT;MASC;PROPN;SG _ ACC;ANIM;MASC;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ADP ACC;INAN;MASC;PROPN;SG ADP GEN;INAN;MASC;PROPN;SG CONJ FIN;IND;MASC;PFV;PST;SG;V ADJ;ANIM;INS;MASC;SG ADP DET;ESS;FEM;INAN;REFL;SG ESS;FEM;INAN;N;SG _
первоначально ядра накаливались в специальных ямах , над которыми были укреплены решётки ; именно этот метод подготовки снарядов использовался при осадах городов .	первоначально ядро накаливаться в специальный яма , над который быть укрепить решетка ; именно этот метод подготовка снаряд использоваться при осада город .	ADV INAN;N;NEUT;NOM;PL FIN;IND;IPFV;MID;PL;PST;V ADP ADJ;ESS;INAN;PL ESS;FEM;INAN;N;PL _ ADP INAN;INS;PL;PRO FIN;IND;IPFV;PL;PST;V INAN;NOM;PASS;PFV;PL;PST;V;V.PTCP FEM;INAN;N;NOM;PL _ PART DET;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;PL FIN;IND;IPFV;MASC;MID;PST;SG;V ADP ESS;FEM;INAN;N;PL GEN;INAN;MASC;N;PL _
господь был доволен служением своего преданного и сказал ему : `` анантальвар , эта рана будет исцелена , но шрам на подбородке останется , как шриватса , и чтобы помнить об этом проишествии , нужно ежедневно прикладовать чистую камфору к этому месту .	господь быть довольный служение свой преданный и сказать он : `` анантальвар , этот рана быть исцелить , но шрам на подбородок остаться , как шриватса , и чтобы помнить об этот происшествие , нужно ежедневно прикладовать чистый камфора к этот место .	ANIM;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ;ANIM;MASC;NOM;SG INAN;INS;N;NEUT;SG ANIM;DET;GEN;MASC;REFL;SG ANIM;GEN;MASC;N;SG CONJ FIN;IND;MASC;PFV;PST;SG;V 3;DAT;MASC;PRO;SG _ _ ANIM;MASC;NOM;PROPN;SG _ DET;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG 3;FIN;FUT;IND;IPFV;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP _ CONJ INAN;MASC;N;NOM;SG ADP ESS;INAN;MASC;N;SG 3;FIN;FUT;IND;MID;PFV;SG;V _ ADP FEM;INAN;NOM;PROPN;SG _ CONJ CONJ IPFV;NFIN;V ADP DET;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG _ V ADV IPFV;NFIN;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG ADP DAT;DET;INAN;NEUT;SG DAT;INAN;N;NEUT;SG _
население составляет 798 человек ( 2008 г . ) , плотность населения составляет 13 чел. / км2 .	население составлять 798 человек ( 2008 г . ) , плотность население составлять 13 чел. / км2 .	INAN;N;NEUT;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;NUM ANIM;GEN;MASC;N;PL _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ _ _ FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;NUM ANIM;GEN;MASC;N;PL _ ACC;INAN;MASC;N;SG _
после получения независимости , в условиях отсутствия средств массовой коммуникации , изменения произошедшие в языке метрополии в xix -- начале xx веков ( к примеру , утрата ретрофлексного r ) , как правило , не нашли своего отражения в речи сша , фонология и лексика которой по - прежнему носят архаичный характер .	после получение независимость , в условие отсутствие средство массовый коммуникация , изменение произойти в язык метрополия в xix -- начало xx век ( к пример , утрата ретрофлексный r ) , как правило , не наслать свой отражение в речь сша , фонология и лексика который по - прежнему носить архаичный характер .	ADP GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _ ADP ESS;INAN;N;NEUT;PL GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;PL ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ INAN;N;NEUT;NOM;PL ACT;INAN;NOM;PFV;PL;PST;V;V.PTCP ADP ESS;INAN;MASC;N;SG FEM;GEN;INAN;N;SG ADP ADJ;ESS;INAN;MASC;SG _ ESS;INAN;N;NEUT;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;PL _ ADP DAT;INAN;MASC;N;SG _ FEM;INAN;N;NOM;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG _ _ ADP INAN;N;NEUT;NOM;SG _ NEG;PART FIN;IND;PFV;PL;PST;V DET;GEN;INAN;NEUT;REFL;SG GEN;INAN;N;NEUT;SG ADP ESS;FEM;INAN;N;SG GEN;INAN;MASC;PL;PROPN _ FEM;INAN;N;NOM;SG CONJ FEM;INAN;N;NOM;SG FEM;GEN;INAN;PRO;SG ADP _ ADV 3;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
степень сжатия -- от 2:1 до 16:1 , но при большей степени сжатия усложняются вычисления и увеличивается время кодирования .	степень сжатие -- от 2:1 до 16:1 , но при больший степень сжатие усложняться вычисление и увеличиваться время кодирование .	FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG _ ADP GEN;INAN;MASC;NUM;SG ADP GEN;NUM _ CONJ ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;MID;PL;PRS;V INAN;N;NEUT;NOM;PL CONJ 3;FIN;IND;IPFV;MID;PRS;SG;V INAN;N;NEUT;NOM;SG GEN;INAN;N;NEUT;SG _
со второй половины ii тысячелетия до новой эры в египте появляются и сложносоставные луки , состоявшие из древесины разных пород , пластин рога или кости и красиво украшенные .	со второй половина ii тысячелетие до новый эра в египет появляться и сложносоставный лук , состоять из древесина разный порода , пластина рог или кость и красиво украсить .	ADP ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG ADP ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADP ESS;INAN;MASC;PROPN;SG 3;FIN;IND;IPFV;MID;PL;PRS;V PART ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL _ ACT;INAN;IPFV;NOM;PL;PST;V;V.PTCP ADP FEM;GEN;INAN;N;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ FEM;GEN;INAN;N;PL GEN;INAN;MASC;N;SG CONJ FEM;GEN;INAN;N;SG CONJ ADV INAN;IPFV;NOM;PASS;PL;PST;V;V.PTCP _
кормится плодами и ягодами .	кормиться плод и ягода .	3;FIN;IND;IPFV;MID;PRS;SG;V INAN;INS;MASC;N;PL CONJ FEM;INAN;INS;N;PL _
стремясь сохранить жизни маньчжуров на территории , где проживало огромное количество китайцев , додо активно использовал перешедшие на его сторону китайские войска , завоёвывая китай руками китайцев .	стремиться сохранить жизнь маньчжур на территория , где проживать огромный количество китаец , додо активно использовать перейти на его сторона китайский войско , завоевывать китай рука китаец .	IPFV;V;V.CVB NFIN;PFV;V ACC;FEM;INAN;N;PL ANIM;GEN;MASC;N;PL ADP ESS;FEM;INAN;N;SG _ ADV FIN;IND;IPFV;NEUT;PST;SG;V ADJ;INAN;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ANIM;GEN;MASC;N;PL _ ANIM;MASC;NOM;PROPN;SG ADV FIN;IND;IPFV;MASC;PST;SG;V ACC;ACT;INAN;PFV;PL;PST;V;V.PTCP ADP 3;DET ACC;FEM;INAN;N;SG ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL _ IPFV;V;V.CVB ACC;INAN;MASC;PROPN;SG FEM;INAN;INS;N;PL ANIM;GEN;MASC;N;PL _
в первой половине xix века владельцем рукописи был другой мексиканский эрудит , фаустино галисиа чимальпопока , у которого в 1849 году тетрадь , по всей видимости , приобрел ещё один известный любитель и знаток доколумбовых древностей , шарль - этьен брассёр де бурбур ( на титульном листе сборника он записал название `` кодекс чимальпопоки &#39;&#39; с объяснением , в честь кого оно дано ) .	в первый половина xix век владелец рукопись быть другой мексиканский эрудит , фаустино галисиа чимальпопока , у который в 1849 год тетрадь , по весь видимость , приобрести еще один известный любитель и знаток доколумбов древность , шарль - этьен брассер де бурбур ( на титульный лист сборник он записать название `` кодекс чимальпопоки &#39;&#39; с объяснение , в честь кто оно дать ) .	ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ANIM;INS;MASC;N;SG FEM;GEN;INAN;N;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ;ANIM;MASC;NOM;SG ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ ADP ANIM;GEN;MASC;PRO;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ACC;FEM;INAN;N;SG _ ADP DAT;DET;FEM;INAN;SG DAT;FEM;INAN;N;SG _ FIN;IND;MASC;PFV;PST;SG;V ADV ANIM;MASC;NOM;NUM;SG ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG CONJ ANIM;MASC;N;NOM;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ ADV _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;SG 3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;SG _ ACC;INAN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG _ ADP INAN;INS;N;NEUT;SG _ ADP ACC;FEM;INAN;N;SG ANIM;GEN;MASC;PRO;SG 3;NEUT;NOM;PRO;SG INAN;NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP _ _
съёмки картины прошли с августа по ноябрь 1958 года .	съемка картина пройти с август по ноябрь 1958 год .	FEM;INAN;N;NOM;PL FEM;GEN;INAN;N;SG FIN;IND;PFV;PL;PST;V ADP GEN;INAN;MASC;N;SG ADP ACC;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
в кинопрокате шёл со скандалами ввиду своей кровавости , хотя был довольно популярен на юге сша ( там происходит действие фильма ) .	в кинопрокат идти со скандал ввиду свой кровавость , хотя быть довольно популярный на юг сша ( там происходить действие фильм ) .	ADP ESS;INAN;MASC;N;SG FIN;IND;IPFV;MASC;PST;SG;V ADP INAN;INS;MASC;N;PL ADP DET;FEM;GEN;INAN;REFL;SG FEM;GEN;INAN;N;SG _ CONJ FIN;IND;IPFV;MASC;PST;SG;V ADV ADJ;INAN;MASC;NOM;SG ADP ESS;INAN;MASC;N;SG GEN;INAN;MASC;PL;PROPN _ ADV 3;FIN;IND;IPFV;PRS;SG;V INAN;N;NEUT;NOM;SG GEN;INAN;MASC;N;SG _ _
в другом интервью он всё же признал , что ситуация на саракше напоминает ему и современную россию .	в другой интервью он всё же признать , что ситуация на саракша напоминать он и современный россия .	ADP ADJ;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG 3;MASC;NOM;PRO;SG ADV PART FIN;IND;MASC;PFV;PST;SG;V _ CONJ FEM;INAN;N;NOM;SG ADP ESS;INAN;MASC;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V 3;DAT;MASC;PRO;SG CONJ ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;PROPN;SG _
запирание и отпирание затвора производится путём поворота ствола вокруг своей оси , скользящего фигурным пазом по выступу поперечно расположенного в рамке пистолета штифта .	запирание и отпирание затвор производиться путем поворот ствол вокруг свой ось , скользить фигурный паз по выступ поперечно расположить в рамка пистолет штифт .	INAN;N;NEUT;NOM;SG CONJ INAN;N;NEUT;NOM;SG GEN;INAN;MASC;N;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADP GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG ADP DET;FEM;GEN;INAN;REFL;SG FEM;GEN;INAN;N;SG _ ACT;GEN;INAN;IPFV;MASC;PRS;SG;V;V.PTCP ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG ADP DAT;INAN;MASC;N;SG ADV GEN;INAN;MASC;PASS;PFV;PST;SG;V;V.PTCP ADP ESS;FEM;INAN;N;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _
в конце 2009 года быков подтвердил его участие на олимпиаде .	в конец 2009 год быков подтвердить его участие на олимпиада .	ADP ESS;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V 3;DET ACC;INAN;N;NEUT;SG ADP ESS;FEM;INAN;N;SG _
исключена в соответствии с постановлением правительства рк от 21.07.06 г . no 700 ( см. стар. ред . )	исключить в соответствие с постановление правительство рк от 21.07.06 г . no 700 ( см. старый. ред . )	FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ESS;INAN;N;NEUT;SG ADP INAN;INS;N;NEUT;SG GEN;INAN;N;NEUT;SG FEM;GEN;INAN;PROPN;SG ADP ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ N NOM;NUM _ 2;FIN;IMP;IPFV;PL;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG _ _
в 1 раунде рефери дисквалифицировал диксона за повторные удары ниже пояса .	в 1 раунд рефери дисквалифицировать диксон за повторный удар ниже пояс .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ANIM;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ANIM;MASC;PROPN;SG ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL ADP GEN;INAN;MASC;N;SG _
условия отбора фотографии ( серии фотографий ) аналогичны условиям присуждения премии за журналистское мастерство , кроме двух моментов : 1 ) в этой номинации премия может быть присуждена за работу любого человека , не обязательно являющегося работником сми ; 2 ) фотография предварительно должна быть размещена в одной из веток березниковского форума .	условие отбор фотография ( серия фотография ) аналогичный условие присуждение премия за журналистский мастерство , кроме два момент : 1 ) в этот номинация премия мочь быть присудить за работа любой человек , не обязательно являться работник сми ; 2 ) фотография предварительно должен быть разместить в один из ветка березниковский форум .	INAN;N;NEUT;NOM;PL GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _ FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;PL _ ADJ;INAN;NOM;PL DAT;INAN;N;NEUT;PL GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG ADP ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG _ ADP GEN;INAN;MASC;NUM GEN;INAN;MASC;N;PL _ ADJ;INAN;NEUT;NOM;SG _ ADP DET;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V IPFV;NFIN;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;FEM;INAN;N;SG ADJ;ANIM;GEN;MASC;SG ANIM;GEN;MASC;N;SG _ NEG;PART ADV ACT;ANIM;GEN;IPFV;MASC;PRS;SG;V;V.PTCP ANIM;INS;MASC;N;SG GEN;INAN;N;NEUT;PL _ ADJ;INAN;NEUT;NOM;SG _ FEM;INAN;N;NOM;SG ADV ADJ;FEM;INAN;NOM;SG IPFV;NFIN;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ESS;FEM;INAN;NUM;SG ADP FEM;GEN;INAN;N;PL ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
всего скачано содержания : 207.022 гигабайт	всего скачать содержание : 207,022 гигабайт	ADV INAN;NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP GEN;INAN;N;NEUT;SG _ INAN;MASC;NOM;NUM GEN;INAN;MASC;N;PL
под вымышленными именами издавал , в частности , свои многочисленные сатирические диалоги , выдержанные в духе лукиана , крот рубеан -- инициатор создания `` писем тёмных людей &#39;&#39; .	под вымышленный имя издавать , в частность , свой многочисленный сатирический диалог , выдержать в дух лукиан , крот рубеан -- инициатор создание `` письмо темный человек &#39;&#39; .	ADP ADJ;INAN;INS;PL INAN;INS;N;NEUT;PL FIN;IND;IPFV;MASC;PST;SG;V _ ADP ESS;FEM;INAN;N;SG _ ACC;DET;INAN;PL;REFL ACC;ADJ;INAN;PL ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _ ACC;INAN;PASS;PFV;PL;PST;V;V.PTCP ADP ESS;INAN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ ANIM;MASC;N;NOM;SG GEN;INAN;N;NEUT;SG _ GEN;INAN;N;NEUT;PL ADJ;ANIM;GEN;PL ANIM;GEN;MASC;N;PL _ _
председатель совета директоров -- кадзухидэ ватанабэ .	председатель совет директор -- кадзухидэ ватанабэ .	ANIM;MASC;N;NOM;SG GEN;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _
остров скалистый , округлой формы .	остров скалистый , округлый форма .	INAN;MASC;N;NOM;SG ADJ;INAN;MASC;NOM;SG _ ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _
имеется поддержка irc - чата и поиск .	иметься поддержка irc - чат и поиск .	3;FIN;IND;IPFV;MID;PRS;SG;V FEM;INAN;N;NOM;SG ADV _ GEN;INAN;MASC;N;SG CONJ INAN;MASC;N;NOM;SG _
однако в конце средневековья многие бани закрылись из страха перед болезнями и из - за насаждавшейся церковью нравственности .	однако в конец средневековье многий баня закрыться из страх перед болезнь и из - за насаждаться церковь нравственность .	ADV ADP ESS;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG ADJ;INAN;NOM;PL FEM;INAN;N;NOM;PL FIN;IND;MID;PFV;PL;PST;V ADP GEN;INAN;MASC;N;SG ADP FEM;INAN;INS;N;PL CONJ ADP _ ADP FEM;GEN;INAN;PASS;PFV;PST;SG;V;V.PTCP FEM;INAN;INS;N;SG FEM;GEN;INAN;N;SG _
из 120 активных работали 107 человек ( 63 мужчины и 44 женщины ) , безработных было 13 ( 1 мужчина и 12 женщин ) .	из 120 активный работать 107 человек ( 63 мужчина и 44 женщина ) , безработный быть 13 ( 1 мужчина и 12 женщина ) .	ADP GEN;NUM ANIM;GEN;MASC;N;PL FIN;IND;IPFV;PL;PST;V NOM;NUM ANIM;GEN;MASC;N;PL _ ANIM;NOM;NUM ANIM;GEN;MASC;N;SG CONJ ANIM;NOM;NUM ANIM;FEM;GEN;N;SG _ _ ANIM;GEN;MASC;N;PL FIN;IND;IPFV;NEUT;PST;SG;V NOM;NUM _ ANIM;MASC;NOM;NUM;SG ANIM;MASC;N;NOM;SG CONJ NOM;NUM ANIM;FEM;GEN;N;PL _ _
его аспиранты , многие из которых успешно защитили кандидатские диссертации , активно работают сегодня в телекоммуникационной индустрии сша , германии , россии , сенегала , египта , монголии , узбекистана и других стран .	его аспирант , многий из который успешно защитить кандидатский диссертация , активно работать сегодня в телекоммуникационный индустрия сша , германия , россия , сенегал , египет , монголия , узбекистан и другой страна .	3;DET ANIM;MASC;N;NOM;PL _ ADJ;ANIM;NOM;PL ADP ANIM;GEN;PL;PRO ADV FIN;IND;PFV;PL;PST;V ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ ADV 3;FIN;IND;IPFV;PL;PRS;V ADV ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG GEN;INAN;MASC;PL;PROPN _ FEM;GEN;INAN;PROPN;SG _ FEM;GEN;INAN;PROPN;SG _ GEN;INAN;MASC;PROPN;SG _ GEN;INAN;MASC;PROPN;SG _ FEM;GEN;INAN;PROPN;SG _ GEN;INAN;MASC;PROPN;SG CONJ ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _
за изучение двойной специализации требовалось заплатить 1000 золотых монет .	за изучение двойной специализация требоваться заплатить 1000 золотой монета .	ADP ACC;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG FIN;IND;IPFV;MID;NEUT;PST;SG;V NFIN;PFV;V ACC;NUM ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _
тип xxi обладал революционными обводами корпуса , которые впоследствии стали основой для создания атомной субмарины uss nautilus .	тип xxi обладать революционный обвод корпус , который впоследствии стать основа для создание атомный субмарина uss nautilus .	INAN;MASC;N;NOM;SG INAN;MASC;NOM;NUM;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ;INAN;INS;PL INAN;INS;MASC;N;PL GEN;INAN;MASC;N;SG _ INAN;NOM;PL;PRO ADV FIN;IND;PFV;PL;PST;V FEM;INAN;INS;N;SG ADP GEN;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;PROPN;SG GEN;INAN;MASC;N;SG _
в россии компания также владела заводом по сборке газовых плит ( мощностью 100 тыс. плит в год ) в подмосковной черноголовке .	в россия компания также владеть завод по сборка газовый плита ( мощность 100 тыс. плита в год ) в подмосковный черноголовка .	ADP ESS;FEM;INAN;PROPN;SG FEM;INAN;N;NOM;SG PART FEM;FIN;IND;IPFV;PST;SG;V INAN;INS;MASC;N;SG ADP DAT;FEM;INAN;N;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ FEM;INAN;INS;N;SG NOM;NUM FEM;GEN;INAN;N;PL FEM;GEN;INAN;N;PL ADP ACC;INAN;MASC;N;SG _ ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;PROPN;SG _
