brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
nu kan de ikke stoppe det .	nu kunne de ikke stoppe det .	ADV ACT;FIN;IND;PRS;V 3;NOM;PL;PRO ADV ACT;NFIN;V 3;ACC;NEUT;PRO;SG _
eller hvad er først og sidst i livet ?	eller hvad være først og sidst i liv ?	CONJ PRO;SG ACT;FIN;IND;PRS;V ADV CONJ ADV ADP DEF;N;NEUT;SG _
imens bankede ask i kajen i kalundborg , hvorefter enhver kunne se , at nu skulle urd i rute som ask .	imens banke ask i kaj i kalundborg , hvorefter enhver kunne se , at nu skulle urd i rute som ask .	ADV ACT;FIN;IND;PST;V PROPN ADP DEF;MASC+FEM;N;SG ADP PROPN _ ADV MASC+FEM;PRO;SG ACT;FIN;IND;PST;V ACT;NFIN;V _ CONJ ADV ACT;FIN;IND;PST;V PROPN ADP INDF;MASC+FEM;N;SG ADP PROPN _
suzanne swannie , dansk tekstilkunstner som drevet af ren eventyrlyst flyttede til new foundland for 25 år siden , har taget flotte fotografier med hjem på den årlige sommerferie hos sin mor bitten mørch .	suzanne swannie , dansk tekstilkunstner som drive af ren eventyrlyst flytte til new foundland for 25 år siden , have tage flot fotografi med hjem på den årlig sommerferie hos sin mor bitten mørch .	PROPN PROPN _ ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP INDF;PST;SG;V;V.PTCP ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADP PROPN PROPN ADP NUM INDF;N;NEUT;PL ADV _ ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADJ;PL INDF;N;NEUT;PL ADV ADV ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG PROPN PROPN _
og for at forpurre datterens ægteskab angiver eddie de to flygtninge til politiet .	og for at forpurre datter ægteskab angive eddie den to flygtning til politi .	CONJ ADP PART ACT;NFIN;V DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V PROPN DET;PL NUM INDF;MASC+FEM;N;PL ADP DEF;N;NEUT;SG _
i bruxelles besluttede natoambassadører onsdag at bede organisationens militære planlæggere om at lave et udkast til en stramning af blokaden mod rest-jugoslavien , der beskyldes for at holde krigen i gang ved de fortsatte landerobringer i bosnien .	i bruxelles beslutte natoambassadør onsdag at bede organisation militær planlægger om at lave en udkast til en stramning af blokade mod rest-jugoslavien , der beskylde for at holde krig i gang ved den fortsætte landerobring i bosnien .	ADP PROPN ACT;FIN;IND;PST;V INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;SG PART ACT;NFIN;V DEF;GEN;MASC+FEM;N;SG ADJ;PL INDF;MASC+FEM;N;PL ADP PART ACT;NFIN;V DET;NEUT;SG INDF;N;NEUT;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP PROPN _ PRO FIN;IND;PASS;PRS;V ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP DET;PL PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL ADP PROPN _
eksporten af motorbåde er også vokset , men forholdsvis lidt - fra 44 mill. kr. til 50 mill. kr. .	eksport af motorbåd være også vokse , men forholdsvis lidt - fra 44 million krone til 50 million krone .	DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP _ CONJ ADV ADV _ ADP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;PL ADP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _
søgsmål om ekspropriation efter denne lov anlægges ved den landsret , under hvilken ejendommen er beliggende .	søgsmål om ekspropriation efter denne lov anlægge ved den landsret , under hvilken ejendom være beliggende .	INDF;N;NEUT;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG FIN;IND;PASS;PRS;V ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADP MASC+FEM;PRO;SG DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ _
lone scherfig , der deltog i projekt " æterdrama " i foråret , har instrueret hans komedie hvor er det dog synd for dora .	lone scherfig , der deltage i projekt " æterdrama " i forår , have instruere hans komedie hvor være det dog synd for dora .	PROPN PROPN _ PRO ACT;FIN;IND;PST;V ADP INDF;N;NEUT;SG _ INDF;N;NEUT;SG _ ADP DEF;N;NEUT;SG _ ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP 3;DET;PSSS INDF;MASC+FEM;N;SG ADV ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV ADJ ADP PROPN _
en bil bygget af franske studerende kunne ruinere benzinselskaberne , hvis den blev sat i masseproduktion .	en bil bygge af fransk studerende kunne ruinere benzinselskab , hvis den blive sætte i masseproduktion .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG INDF;PST;SG;V;V.PTCP ADP ADJ;PL MASC+FEM;N;PL ACT;FIN;IND;PST;V ACT;NFIN;V DEF;N;NEUT;PL _ CONJ 3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG _
derfor elsker jeg at arbejde her - at gøre en indsats . "	derfor elske jeg at arbejde her - at gøre en indsats . "	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG PART ACT;NFIN;V ADV _ PART ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ _
" for at få mere rigtig kamperfaring og dermed chancen for et bedre job , besluttede jeg mig så , sammen med en kammerat , til at rejse til bosnien , dels fordi de betalte godt , dels fordi jeg følte , at jeg hjalp nogen , der havde brug for hjælp . "	" for at få meget rigtig kamperfaring og dermed chance for en god job , beslutte jeg jeg så , sammen med en kammerat , til at rejse til bosnien , dels fordi de betale godt , dels fordi jeg føle , at jeg hjælpe nogen , der have brug for hjælp . "	_ ADP PART ACT;NFIN;V ADJ;CMPR;INDF;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADV DEF;MASC+FEM;N;SG ADP DET;NEUT;SG ADJ;CMPR INDF;N;NEUT;SG _ ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG 1;ACC;MASC+FEM;PRO;SG ADV _ ADV ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADP PART ACT;NFIN;V ADP PROPN _ ADV CONJ 3;NOM;PL;PRO ACT;FIN;IND;PST;V ADV _ ADV CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V MASC+FEM;PRO;SG _ PRO ACT;FIN;IND;PST;V INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _ _
yderligere formodes han at have set sit snit til at få den to-årige væk derfra - og et par hundrede meter hen til et græsareal med forholdsvis højt græs bag bebyggelsen .	yderligere formode han at have se sin snit til at få den to-årig væk derfra - og en par hundrede meter hen til en græsareal med forholdsvis høj græs bag bebyggelse .	ADV;CMPR FIN;IND;PASS;PRS;V 3;MASC+FEM;NOM;PRO;SG PART ACT;NFIN;V INDF;PST;SG;V;V.PTCP 3;DET;NEUT;PSSS;REFL;SG INDF;N;NEUT;SG ADP PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;DEF;SG ADV ADV _ CONJ DET;NEUT;SG INDF;N;NEUT;SG INDF;N;NEUT;SG INDF;MASC+FEM;N;PL ADV ADP DET;NEUT;SG INDF;N;NEUT;SG ADP ADV ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG _
man kan slet ikke forestille sig at vi har fået vores muskler uden tilsætning men ved hård træning .	man kunne slet ikke forestille sig at vi have få vores muskel uden tilsætning men ved hård træning .	MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ADV ADV ACT;NFIN;V 3;ACC;PRO;REFL CONJ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP 1;DET;PSSP INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG CONJ ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
i øjeblikket er man ved at bygge et anlæg i shanghai , finansieret af spanske lån gennem fls' søsterfirma i spanien .	i øjeblik være man ved at bygge en anlæg i shanghai , finansiere af spansk lån gennem fls søsterfirma i spanien .	ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO ADP PART ACT;NFIN;V DET;NEUT;SG INDF;N;NEUT;SG ADP PROPN _ INDF;PST;SG;V;V.PTCP ADP ADJ;PL INDF;N;NEUT;PL ADP GEN;PROPN INDF;N;NEUT;SG ADP PROPN _
bandets læretid	band læretid	DEF;GEN;N;NEUT;SG INDF;MASC+FEM;N;SG
så falder ledigheden og skatteindtægterne stiger .	så falde ledighed og skatteindtægt stige .	ADV ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG CONJ DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V _
" jamen , vi har et lille apparat her ved væggen , " sagde hun og tog et lille plasticetui .	" jamen , vi have en lille apparat her ved væg , " sige hun og tage en lille plasticetui .	_ CONJ _ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;SG INDF;N;NEUT;SG ADV ADP DEF;MASC+FEM;N;SG _ _ ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG CONJ ACT;FIN;IND;PST;V DET;NEUT;SG ADJ;SG INDF;N;NEUT;SG _
en anden opgave på konventet er simpelthen at holde sig i nærheden af bush .	en anden opgave på konvent være simpelthen at holde sig i nærhed af bush .	DET;MASC+FEM;SG DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADV PART ACT;NFIN;V 3;ACC;PRO;REFL ADP DEF;MASC+FEM;N;SG ADP PROPN _
vi mødtes i paris , og det var kærlighed ved første blik .	vi mødes i paris , og det være kærlighed ved første blik .	1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PST;V ADP PROPN _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V INDF;MASC+FEM;N;SG ADP ADJ INDF;N;NEUT;SG _
og så er det jo mozart år i år .	og så være det jo mozart år i år .	CONJ ADV ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV PROPN INDF;N;NEUT;SG ADP INDF;N;NEUT;SG _
and some day we shall have our revenge .	and some day we shall have our revenge .	PROPN _ _ _ _ _ _ _ _
- jeg har skrevet det om tusind gange , sagde gunnar .	- jeg have skrive det om tusind gang , sige gunnar .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP 3;ACC;NEUT;PRO;SG ADV INDF;N;NEUT;SG INDF;MASC+FEM;N;PL _ ACT;FIN;IND;PST;V PROPN _
det var provinsens " statens kunstfond " , canadian council , der gav hende opgaven , idet de kendte hendes arbejder , hendes industrielle designerfaringer , hidtil løste indretningsopgaver og fornemmelse for lokale håndværkstraditioner .	det være provins " stat kunstfond " , canadian council , der give hun opgave , idet de kende hendes arbejde , hendes industriel designerfaring , hidtil løse indretningsopgave og fornemmelse for lokal håndværkstradition .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V DEF;GEN;MASC+FEM;N;SG _ DEF;GEN;MASC+FEM;N;SG INDF;N;SG _ _ PROPN PROPN _ PRO ACT;FIN;IND;PST;V 3;ACC;MASC+FEM;PRO;SG DEF;MASC+FEM;N;SG _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PST;V 3;DET;PSSS INDF;N;NEUT;PL _ 3;DET;PSSS ADJ;PL INDF;MASC+FEM;N;PL _ ADV PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL _
lejligheden er indrettet i en tidligere politistation i en hyggelig andelsforening i et 1700-tals hus med sydlandske balkoner , bindingsværk og udsigt til marmorkirken i københavn .	lejlighed være indrette i en tidlig politistation i en hyggelig andelsforening i en 1700-tal hus med sydlandsk balkon , bindingsværk og udsigt til marmorkirke i københavn .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP DET;MASC+FEM;SG ADJ;CMPR INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DET;NEUT;SG GEN;INDF;N;NEUT;SG INDF;N;NEUT;SG ADP ADJ;PL INDF;MASC+FEM;N;PL _ INDF;N;NEUT;SG CONJ INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP PROPN _
bare ordet kunne gøre andré træt i hovedet .	bare ord kunne gøre andré træt i hoved .	ADV DEF;N;NEUT;SG ACT;FIN;IND;PST;V ACT;NFIN;V PROPN ADJ;INDF;SG ADP DEF;N;NEUT;SG _
men det behøver stefan rasmussen ikke ærgre sig økonomisk over .	men det behøve stefan rasmussen ikke ærgre sig økonomisk over .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V PROPN PROPN ADV ACT;NFIN;V 3;ACC;PRO;REFL ADV ADP _
da socialdemokratiet gav op i september 1982 var det vel egentlig også mest af taktiske grunde .	da socialdemokrati give op i september 1982 være det vel egentlig også mest af taktisk grund .	CONJ DEF;N;NEUT;SG ACT;FIN;IND;PST;V ADV ADP INDF;MASC+FEM;N;SG NUM ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADV ADV ADV ADV;RL ADP ADJ;PL INDF;MASC+FEM;N;PL _
palle simonsen siger , at der foreløbig er bestyrelsesbeslutning om at købe udenlandske aktier og obligationer for op til 1,5 procent af formuen .	palle simonsen sige , at der foreløbig være bestyrelsesbeslutning om at købe udenlandsk aktie og obligation for op til 1,5 procent af formue .	PROPN PROPN ACT;FIN;IND;PRS;V _ CONJ ADV ADV ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V ADJ;PL INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;PL ADP ADV ADP NUM INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
og de forskellige fald , hun har haft , bl.a. i rebild bakker , kan medføre , at hun har vanskeligt ved at styre de bløde knæskaller .	og den forskellig fald , hun have have , blandt_andet i rebild bakke , kunne medføre , at hun have vanskeligt ved at styre den blød knæskal .	CONJ DET;PL ADJ;PL INDF;N;NEUT;PL _ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _ ADV ADP PROPN INDF;MASC+FEM;N;PL _ ACT;FIN;IND;PRS;V ACT;NFIN;V _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP PART ACT;NFIN;V DET;PL ADJ;PL INDF;MASC+FEM;N;PL _
men det var til at se : kunne danskerne klare belastningen og sætte de rådvilde modstandere under pres , kunne kampen vindes .	men det være til at se : kunne dansker klare belastning og sætte den rådvild modstander under pres , kunne kamp vinde .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V ADP PART ACT;NFIN;V _ ACT;FIN;IND;PST;V DEF;MASC+FEM;N;PL ACT;NFIN;V DEF;MASC+FEM;N;SG CONJ ACT;NFIN;V DET;PL ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;N;NEUT;SG _ ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG NFIN;PASS;V _
finansforbundets formand , søren dalmark , var da også helt med på , at der skal lægges strategi imod fremtidige massefyringer .	finansforbund formand , søren dalmark , være da også helt med på , at der skulle lægge strategi imod fremtidig massefyring .	DEF;GEN;N;NEUT;SG INDF;MASC+FEM;N;SG _ PROPN PROPN _ ACT;FIN;IND;PST;V ADV ADV ADV ADV ADP _ CONJ ADV ACT;FIN;IND;PRS;V NFIN;PASS;V INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL _
hurtige håndværkere	hurtig håndværker	ADJ;PL INDF;MASC+FEM;N;PL
men der er et par hundrede at spare på andre af sko-modens sællerter hos eddie .	men der være en par hundrede at spare på anden af sko-mode sællert hos eddie .	CONJ ADV ACT;FIN;IND;PRS;V DET;NEUT;SG INDF;N;NEUT;SG INDF;N;NEUT;PL PART ACT;NFIN;V ADP PL;PRO ADP DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;PL ADP PROPN _
jeg kunne ikke bare gå , måske var det sidste gang , jeg nogen sinde så jesper .	jeg kunne ikke bare gå , måske være det sidste gang , jeg nogen sinde se jesper .	1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV ADV ACT;NFIN;V _ ADV ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADJ INDF;MASC+FEM;N;SG _ 1;MASC+FEM;NOM;PRO;SG DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V PROPN _
600 brugser har ikke fået lov at blive super-brugser .	600 brugs have ikke få lov at blive super-brugs .	NUM INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP N PART ACT;NFIN;V INDF;MASC+FEM;N;PL _
- selvfølgelig .	- selvfølgelig .	_ ADV _
de ønsker , at film skal være et underholdningsmedie .	de ønske , at film skulle være en underholdningsmedie .	3;NOM;PL;PRO ACT;FIN;IND;PRS;V _ CONJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ACT;NFIN;V DET;NEUT;SG INDF;N;NEUT;SG _
skandinaviske komikere er også forskellige indbyrdes .	skandinavisk komiker være også forskellig indbyrdes .	ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV ADJ;PL ADV _
alexander graham bell ( 1847-1922 ) , som for kun 116 år siden opfandt det elektriske snakketøj , telefonen , boede mange år i halifax , og suzanne swannie fandt inspirationen til skulpturen i nogle af hans arbejdspapirer , bl.a. skitser til drager og en komponent med en ligesidet trekant konstrueret som pyramide-bygningselement .	alexander graham bell ( 1847-1922 ) , som for kun 116 år siden opfinde den elektrisk snakketøj , telefon , bo mange år i halifax , og suzanne swannie finde inspiration til skulptur i nogen af hans arbejdspapir , blandt_andet skitse til drage og en komponent med en ligesidet trekant konstruere som pyramide-bygningselement .	PROPN PROPN PROPN _ NUM _ _ PRO ADP ADV NUM INDF;N;NEUT;PL ADV ACT;FIN;IND;PST;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _ DEF;MASC+FEM;N;SG _ ACT;FIN;IND;PST;V ADJ;PL INDF;N;NEUT;PL ADP PROPN _ CONJ PROPN PROPN ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP DET;PL ADP 3;DET;PSSS INDF;N;NEUT;PL _ ADV INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;PL CONJ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG INDF;PST;SG;V;V.PTCP ADP INDF;N;NEUT;SG _
... hvis afføringen varigt ændrer karakter .	... hvis afføring varigt ændre karakter .	_ CONJ DEF;MASC+FEM;N;SG ADV ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG _
eller cirka 1050 kvadratcentimeter pr. kilo barn .	eller cirka 1050 kvadratcentimeter per kilo barn .	CONJ ADV NUM INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG INDF;N;NEUT;SG _
dommeren , villy nielsen , måtte have beskyttelse af kontrollører for at slippe fri af truende ob-fans ved pausen og efter kampen .	dommer , villy nielsen , måtte have beskyttelse af kontrollør for at slippe fri af true ob-fan ved pause og efter kamp .	DEF;MASC+FEM;N;SG _ PROPN PROPN _ ACT;FIN;IND;PST;V ACT;NFIN;V INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;PL ADP PART ACT;NFIN;V ADJ;INDF;MASC+FEM;SG ADP PRS;V;V.PTCP INDF;MASC+FEM;N;PL ADP DEF;MASC+FEM;N;SG CONJ ADP DEF;MASC+FEM;N;SG _
følelser , som han ikke kan beherske , og som derfor driver ham ud i en situation , hvor han optræder som forræder , angiver , stikker .	følelse , som han ikke kunne beherske , og som derfor drive han ud i en situation , hvor han optræde som forræder , angiver , stikker .	INDF;MASC+FEM;N;PL _ PRO 3;MASC+FEM;NOM;PRO;SG ADV ACT;FIN;IND;PRS;V ACT;NFIN;V _ CONJ ADP ADV ACT;FIN;IND;PRS;V 3;ACC;MASC+FEM;PRO;SG ADV ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADP INDF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG _
med scout skulle der heller ikke være noget at tage fejl af : tast firmanavn eller tast et søgeord , og skærmen viser meget pædagogisk nærmeste vej til den eller de aktuelle stande .	med scout skulle der heller ikke være nogen at tage fejl af : taste firmanavn eller taste en søgeord , og skærm vise meget pædagogisk nær vej til den eller den aktuel stand .	ADP PROPN ACT;FIN;IND;PST;V ADV ADV ADV ACT;NFIN;V NEUT;PRO;SG PART ACT;NFIN;V ADJ ADP _ IMP;V INDF;N;NEUT;SG CONJ IMP;V DET;NEUT;SG INDF;N;NEUT;SG _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ADV ADJ;DEF;RL INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG CONJ PL;PRO ADJ;PL INDF;MASC+FEM;N;PL _
masood havde tilsyneladende kontrol med kabuls centrum , men elektriciteten var afbrudt .	masood have tilsyneladende kontrol med kabul centrum , men elektricitet være afbryde .	PROPN ACT;FIN;IND;PST;V ADV INDF;MASC+FEM;N;SG ADP GEN;PROPN INDF;N;NEUT;SG _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP _
" det har danskerne nu altid været , også for 300 år siden , så jeg er optimistisk på jeres vegne .	" det have dansker nu altid være , også for 300 år siden , så jeg være optimistisk på jeres vegne .	_ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;PL ADV ADV INDF;PST;SG;V;V.PTCP _ ADV ADP NUM INDF;N;NEUT;PL ADV _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;SG ADP 2;DET;PSSP INDF;MASC+FEM;N;PL _
erik karlsson er ungkarl og har altid boet alene .	erik karlsson være ungkarl og have altid bo alene .	PROPN PROPN ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP ADV _
der er ti besætningsmedlemmer på skibet , hvoraf de seks er danske .	der være ti besætningsmedlem på skib , hvoraf den seks være dansk .	ADV ACT;FIN;IND;PRS;V NUM INDF;N;NEUT;PL ADP DEF;N;NEUT;SG _ ADV PL;PRO NUM ACT;FIN;IND;PRS;V ADJ;PL _
grænsen ligger der , hvor man efterspørger en forklaring , der ellers ikke kan gives .	grænse ligge der , hvor man efterspørge en forklaring , der ellers ikke kunne give .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV _ ADV MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ PRO ADV ADV ACT;FIN;IND;PRS;V NFIN;PASS;V _
hun blev sit holds topscorer med seks mål , mens betina nørager tegnede sig for ikke færre end otte af hjemmeholdets .	hun blive sin hold topscorer med seks mål , mens betina nørager tegne sig for ikke få end otte af hjemmehold .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V 3;DET;NEUT;PSSS;REFL;SG GEN;INDF;N;NEUT;SG INDF;MASC+FEM;N;SG ADP NUM INDF;N;NEUT;PL _ CONJ PROPN PROPN ACT;FIN;IND;PST;V 3;ACC;PRO;REFL ADP ADV ADJ;CMPR;PL ADP NUM ADP DEF;GEN;N;NEUT;SG _
" vi troede ledelsen ville lægge op til nye forhandlinger og ny en konstruktiv dialog .	" vi tro ledelse ville lægge op til ny forhandling og ny en konstruktiv dialog .	_ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ACT;NFIN;V ADV ADP ADJ;PL INDF;MASC+FEM;N;PL CONJ _ _ ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
diare er det almindeligste symptom , nogle får også lidt feber i begyndelsen .	diare være den almindelig symptom , nogen få også lidt feber i begyndelse .	INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;RL INDF;N;NEUT;SG _ PL;PRO ACT;FIN;IND;PRS;V ADV ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
ifølge radioen satte de serbiske styrker også en offensiv ind mod tuzla , olovo , tesanj og travnik - alle byer i et muslimsk-kontrolleret område i det nordlige bosnien-hercegovina , der skrumper ind dag for dag .	ifølge radio sætte den serbisk styrke også en offensiv ind mod tuzla , olovo , tesanj og travnik - al by i en muslimsk-kontrolleret område i den nordlig bosnien-hercegovina , der skrumpe ind dag for dag .	ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V DET;PL ADJ;PL INDF;MASC+FEM;N;PL ADV DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADV ADP PROPN _ PROPN _ PROPN CONJ PROPN _ ADJ;PL INDF;MASC+FEM;N;PL ADP DET;NEUT;SG ADJ;INDF;SG INDF;N;NEUT;SG ADP DET;NEUT;SG ADJ;DEF;SG PROPN _ PRO ACT;FIN;IND;PRS;V ADV INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _
man har fortrinlige literflasker i plastic .	man have fortrinlig literflaske i plastic .	MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;N;SG _
en referee vil desuden se på om manuskriptet fremstiller sine resultater på en tilfredsstillende måde .	en referee ville desuden se på om manuskript fremstille sin resultat på en tilfredsstille måde .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V ADP CONJ DEF;N;NEUT;SG ACT;FIN;IND;PRS;V 3;DET;PL;PSSS;REFL INDF;N;NEUT;PL ADP DET;MASC+FEM;SG PRS;V;V.PTCP INDF;MASC+FEM;N;SG _
