catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
today , expansive ruins can be viewed there .	today , expansive ruin can be view there .	N;SG _ ADJ N;PL FIN;V NFIN;V PST;V;V.PTCP ADV _
the mate 9 phones lack an artificial intelligence interface , like the google assistant or apple 's siri .	the mate 9 phone lack a artificial intelligence interface , like the google assistant or apple 's siri .	DEF;DET PROPN;SG NUM N;PL FIN;IND;PRS;V DET;INDF ADJ N;SG N;SG _ ADP DEF;DET PROPN;SG PROPN;SG CONJ PROPN;SG PART PROPN;SG _
i was asked by the officers , in their inimitably dumb way , whether i knew the writer günter de bruyn and whether we are intellectual relatives .	i be ask by the officer , in they inimitably dumb way , whether i know the writer günter de bruyn and whether we be intellectual relative .	1;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET N;PL _ ADP 3;PL;PRO ADV ADJ N;SG _ CONJ 1;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG PROPN;SG PROPN;SG PROPN;SG CONJ CONJ 1;NOM;PL;PRO FIN;IND;PRS;V ADJ N;PL _
much of the debate , from the democratic side this year , has been about white male identity .	much of the debate , from the democratic side this year , have be about white male identity .	ADJ ADP DEF;DET N;SG _ ADP DEF;DET ADJ N;SG DET;SG N;SG _ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP ADJ ADJ N;SG _
not long ago he was divorced from the actress , gloria holden , but carried the torch after the marital rift .	not long ago he be divorce from the actress , gloria holden , but carry the torch after the marital rift .	ADV;NEG ADV ADV 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET N;SG _ PROPN;SG PROPN;SG _ CONJ FIN;IND;PST;V DEF;DET N;SG ADP DEF;DET ADJ N;SG _
celebrities , fans and even cnn reporters are dressing up like " stranger things " characters this holiday .	celebrity , fan and even cnn reporter be dress up like " stranger thing " character this holiday .	N;PL _ N;PL CONJ ADV PROPN;SG N;PL FIN;IND;PRS;V PRS;V;V.PTCP ADP ADP _ ADJ;CMPR N;PL _ N;PL DET;SG N;SG _
with 71 goals in 137 international matches , he has shot a record number of goals for the dfb .	with 71 goal in 137 international match , he have shoot a record number of goal for the dfb .	ADP NUM N;PL ADP NUM ADJ N;PL _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF N;SG N;SG ADP N;PL ADP DEF;DET PROPN;SG _
we have a great squad and it is an opportunity for us to take the ship forward .	we have a great squad and it be a opportunity for we to take the ship forward .	1;NOM;PL;PRO FIN;IND;PRS;V DET;INDF ADJ N;SG CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG CONJ 1;ACC;PL;PRO PART NFIN;V DEF;DET N;SG ADV _
what are the limits that could inhibit the expression of religious beliefs in private companies ?	what be the limit that could inhibit the expression of religious belief in private company ?	PRO FIN;IND;PRS;V DEF;DET N;PL PRO FIN;V NFIN;V DEF;DET N;SG ADP ADJ N;PL ADP ADJ N;PL _
the article by thompson assumes that the maya were ultimately “ peaceful ” people since they lacked apparent defenses .	the article by thompson assume that the maya be ultimately “ peaceful ” people since they lack apparent defens .	DEF;DET N;SG ADP PROPN;SG 3;FIN;IND;PRS;SG;V CONJ DEF;DET PROPN;SG FIN;IND;PST;V ADV _ ADJ _ N;PL CONJ 3;NOM;PL;PRO FIN;IND;PST;V ADJ N;PL _
during this time , marcelle was often left alone in the room while piaf and mômone were out out on the streets or at the club singing .	during this time , marcelle be often leave alone in the room while piaf and mômone be out out on the street or at the club sing .	ADP DET;SG N;SG _ PROPN;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADV ADP DEF;DET N;SG CONJ PROPN;SG CONJ PROPN;SG FIN;IND;PST;V ADV ADV ADP DEF;DET N;PL CONJ ADP DEF;DET N;SG V;V.MSDR _
south africa are almost at the point of no return and we have to be able to match their desire .	south africa be almost at the point of no return and we have to be able to match they desire .	PROPN;SG PROPN;SG FIN;IND;PRS;V ADV ADP DEF;DET N;SG ADP DET;NEG N;SG CONJ 1;NOM;PL;PRO FIN;IND;PRS;V PART NFIN;V ADJ PART NFIN;V 3;PL;PRO N;SG _
throughout history , the international hair market has always had a political dimension , says tarlo .	throughout history , the international hair market have always have a political dimension , say tarlo .	ADP N;SG _ DEF;DET ADJ N;SG N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DET;INDF ADJ N;SG _ 3;FIN;IND;PRS;SG;V PROPN;SG _
likely the most well - known person from the copper age is ötzi , the frozen mummy who lived during 3300 bc .	likely the most well - known person from the copper age be ötzi , the frozen mummy who live during 3300 bc .	ADV DEF;DET ADV ADV _ ADJ N;SG ADP DEF;DET PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V PROPN;SG _ DEF;DET ADJ N;SG PRO FIN;IND;PST;V ADP NUM ADV _
a fundamental change in working principles was brought about by scotsman james watt .	a fundamental change in work principle be bring about by scotsman james watt .	DET;INDF ADJ N;SG ADP V;V.MSDR N;PL 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP ADP PROPN;SG PROPN;SG PROPN;SG _
enough of those , in a highly contested area , will lead to chaos election day .	enough of those , in a highly contested area , will lead to chaos election day .	ADJ ADP PL;PRO _ ADP DET;INDF ADV ADJ N;SG _ FIN;V NFIN;V ADP N;SG N;SG N;SG _
the president of the community of madrid , cristina cifuentes , represents the most conservative , while leaders of the party , such as the sectorial under - secretary , javier maroto , represent the most progressive .	the president of the community of madrid , cristina cifuentes , represent the most conservative , while leader of the party , such as the sectorial under - secretary , javier maroto , represent the most progressive .	DEF;DET N;SG ADP DEF;DET N;SG ADP PROPN;SG _ PROPN;SG PROPN;SG _ 3;FIN;IND;PRS;SG;V DEF;DET ADV ADJ _ CONJ N;PL ADP DEF;DET N;SG _ ADJ ADP DEF;DET ADJ ADP _ N;SG _ PROPN;SG PROPN;SG _ FIN;IND;PRS;V DEF;DET ADV ADJ _
during his time there , kipling also met and fell in love with florence garrard who was boarding with trix at southsea ( to which trix had returned ) .	during he time there , kipling also meet and fall in love with florence garrard who be board with trix at southsea ( to which trix have return ) .	ADP 3;MASC;PRO;SG N;SG ADV _ PROPN;SG ADV FIN;IND;PST;V CONJ FIN;IND;PST;V ADP N;SG ADP PROPN;SG PROPN;SG PRO 3;FIN;IND;PST;SG;V PRS;V;V.PTCP ADP PROPN;SG ADP PROPN;SG _ ADP PRO PROPN;SG FIN;IND;PST;V PST;V;V.PTCP _ _
the central space was used to observe the rising of the sun and full moon .	the central space be use to observe the rising of the sun and full moon .	DEF;DET ADJ N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP PART NFIN;V DEF;DET N;SG ADP DEF;DET N;SG CONJ ADJ N;SG _
her zodiacal animal is the monkey and her traditionally significant sixtieth anniversary year was 1992 .	she zodiacal animal be the monkey and she traditionally significant sixtieth anniversary year be 1992 .	3;FEM;PRO;SG ADJ N;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG CONJ 3;FEM;PRO;SG ADV ADJ ADJ N;SG N;SG 3;FIN;IND;PST;SG;V NUM _
dominican priest heinrich kramer was assistant to the archbishop of salzburg .	dominican priest heinrich kramer be assistant to the archbishop of salzburg .	ADJ N;SG PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V N;SG ADP DEF;DET N;SG ADP PROPN;SG _
the army performed well in combat in cuba .	the army perform well in combat in cuba .	DEF;DET N;SG FIN;IND;PST;V ADV ADP N;SG ADP PROPN;SG _
the islamic citizens who have settled since the beginning of the 1960s emigrated primarily from turkey .	the islamic citizen who have settle since the beginning of the 1960 emigrate primarily from turkey .	DEF;DET ADJ N;PL PRO FIN;IND;PRS;V PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET N;PL FIN;IND;PST;V ADV ADP PROPN;SG _
ramesses , logistically unable to sustain a long siege , returned to egypt .	ramesses , logistically unable to sustain a long siege , return to egypt .	PROPN;SG _ ADV ADJ PART NFIN;V DET;INDF ADJ N;SG _ FIN;IND;PST;V ADP PROPN;SG _
news of the company ’s deceit - which had run for years - wiped tens of billions of euros from vw 's value and cost chief executive martin winterkorn his job .	news of the company ’s deceit - which have run for year - wipe ten of billion of euro from vw 's value and cost chief executive martin winterkorn he job .	N;SG ADP DEF;DET N;SG PART N;SG _ PRO FIN;IND;PST;V PST;V;V.PTCP ADP N;PL _ FIN;IND;PST;V N;PL ADP N;PL ADP N;PL ADP PROPN;SG PART N;SG CONJ FIN;IND;PST;V N;SG N;SG PROPN;SG PROPN;SG 3;MASC;PRO;SG N;SG _
from the 16th century , europeans visiting the caribbean region identified the " south sea " ( the pacific ocean , to the south of the isthmus of panama ) as opposed to the " north sea " ( the caribbean sea , to the north of the same isthmus ) .	from the 16th century , europeans visit the caribbean region identify the " south sea " ( the pacific ocean , to the south of the isthmus of panama ) as oppose to the " north sea " ( the caribbean sea , to the north of the same isthmus ) .	ADP DEF;DET ADJ N;SG _ PL;PROPN V;V.MSDR DEF;DET ADJ N;SG FIN;IND;PST;V DEF;DET _ PROPN;SG PROPN;SG _ _ DEF;DET PROPN;SG PROPN;SG _ ADP DEF;DET N;SG ADP DEF;DET N;SG ADP PROPN;SG _ CONJ PST;V;V.PTCP ADP DEF;DET _ PROPN;SG PROPN;SG _ _ DEF;DET PROPN;SG PROPN;SG _ ADP DEF;DET N;SG ADP DEF;DET ADJ N;SG _ _
thematically , jasmine also represents civil rights , racial tolerance , social hierarchy , as well as life , liberty and the pursuit of happiness .	thematically , jasmine also represent civil rights , racial tolerance , social hierarchy , as well as life , liberty and the pursuit of happiness .	ADV _ PROPN;SG ADV 3;FIN;IND;PRS;SG;V ADJ N;PL _ ADJ N;SG _ ADJ N;SG _ ADV ADJ ADP N;SG _ N;SG CONJ DEF;DET N;SG ADP N;SG _
according to parker , russian secret service agents are active in large numbers in great britain .	accord to parker , russian secret service agent be active in large number in great britain .	V;V.MSDR ADP PROPN;SG _ ADJ N;SG PROPN;SG N;PL FIN;IND;PRS;V ADJ ADP ADJ N;PL ADP ADJ PROPN;SG _
the latter also spread islam to the coastal belt , but most bantu never had contact with islam and remained african traditional religion adherents .	the latter also spread islam to the coastal belt , but most bantu never have contact with islam and remain african traditional religion adherent .	DEF;DET N;SG ADV FIN;IND;PST;V PROPN;SG ADP DEF;DET ADJ N;SG _ CONJ ADJ;RL PROPN;SG ADV;NEG FIN;IND;PST;V N;SG ADP PROPN;SG CONJ FIN;IND;PST;V ADJ ADJ N;SG N;PL _
four more give the minimum and maximum declinations of the full moon : in summer , and in winter .	four more give the minimum and maximum declination of the full moon : in summer , and in winter .	NUM ADJ FIN;IND;PRS;V DEF;DET ADJ CONJ ADJ N;PL ADP DEF;DET ADJ N;SG _ ADP N;SG _ CONJ ADP N;SG _
in 1928 , a 90 - hectare golf course was built in the north - eastern part of the park , next to the racetrack .	in 1928 , a 90 - hectare golf course be build in the north - eastern part of the park , next to the racetrack .	ADP NUM _ DET;INDF NUM _ N;SG N;SG N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET ADJ _ ADJ N;SG ADP DEF;DET N;SG _ ADP ADP DEF;DET N;SG _
“ agora was invitation - only but many of these marketplaces are easily accessible if you know how to search , ” dr lee adds .	“ agora be invitation - only but many of these marketplace be easily accessible if you know how to search , ” dr lee add .	_ PROPN;SG 3;FIN;IND;PST;SG;V N;SG _ ADV CONJ ADJ ADP DET;PL N;PL FIN;IND;PRS;V ADV ADJ CONJ 2;NOM;PRO FIN;IND;PRS;V ADV PART NFIN;V _ _ PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V _
this was the coup de grâce and encouragement the settlers needed to get their independence .	this be the coup de grâce and encouragement the settler need to get they independence .	PRO;SG 3;FIN;IND;PST;SG;V DEF;DET _ _ _ CONJ N;SG DEF;DET N;PL FIN;IND;PST;V PART NFIN;V 3;PL;PRO N;SG _
“ we ’ve requested other nations to help us populate the zoo with different species of animals , including a pig , ” saqib said .	“ we ’ve request other nation to help we populate the zoo with different species of animal , include a pig , ” saqib say .	_ 1;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP ADJ N;PL PART NFIN;V 1;ACC;PL;PRO NFIN;V DEF;DET N;SG ADP ADJ N;PL ADP N;PL _ V;V.MSDR DET;INDF N;SG _ _ PROPN;SG FIN;IND;PST;V _
on the other hand , external history contains references to the history of spanish speakers , their historical vicissitudes and the social use of the language .	on the other hand , external history contain reference to the history of spanish speaker , they historical vicissitude and the social use of the language .	ADP DEF;DET ADJ N;SG _ ADJ N;SG 3;FIN;IND;PRS;SG;V N;PL ADP DEF;DET N;SG ADP PROPN;SG N;PL _ 3;PL;PRO ADJ N;PL CONJ DEF;DET ADJ N;SG ADP DEF;DET N;SG _
by the peace treaty spain ceded to the united states its colonies of puerto rico , guam , and the philippines .	by the peace treaty spain cede to the united states its colony of puerto rico , guam , and the philippines .	ADP DEF;DET N;SG N;SG PROPN;SG FIN;IND;PST;V ADP DEF;DET PROPN;SG PL;PROPN 3;NEUT;PRO;SG N;PL ADP PROPN;SG PROPN;SG _ PROPN;SG _ CONJ DEF;DET PL;PROPN _
north america and south america are treated as separate continents in the seven - continent model .	north america and south america be treat as separate continent in the seven - continent model .	PROPN;SG PROPN;SG CONJ PROPN;SG PROPN;SG FIN;IND;PRS;V PST;V;V.PTCP ADP ADJ N;PL ADP DEF;DET NUM _ N;SG N;SG _
the executives also received so - called " performance pay " for succeeding or surpassing expectations , sharing a pot of $ 1.5 million among them , or an estimated $ 15,000 each on average .	the executive also receive so - called " performance pay " for succeed or surpass expectation , share a pot of $ 1.5 million among they , or a estimate $ 15,000 each on average .	DEF;DET N;PL ADV FIN;IND;PST;V ADV _ PST;V;V.PTCP _ N;SG N;SG _ CONJ V;V.MSDR CONJ V;V.MSDR N;PL _ V;V.MSDR DET;INDF N;SG ADP _ NUM NUM ADP 3;ACC;PL;PRO _ CONJ DET;INDF PST;V;V.PTCP _ NUM DET ADP N;SG _
france does n't have a good reputation .	france do not have a good reputation .	PROPN;SG 3;FIN;IND;PRS;SG;V NEG;PART NFIN;V DET;INDF ADJ N;SG _
day three , i was back on the emicro .	day three , i be back on the emicro .	N;SG NUM _ 1;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV ADP DEF;DET PROPN;SG _
the current waiting period is eight weeks .	the current waiting period be eight week .	DEF;DET ADJ N;SG N;SG 3;FIN;IND;PRS;SG;V NUM N;PL _
joseph darnand , who became an ss officer and led the milice paramilitaries who hunted down members of the resistance , was executed in october 1945 .	joseph darnand , who become a ss officer and lead the milice paramilitary who hunt down member of the resistance , be execute in october 1945 .	PROPN;SG PROPN;SG _ PRO FIN;IND;PST;V DET;INDF PROPN;SG N;SG CONJ FIN;IND;PST;V DEF;DET PROPN;SG N;PL PRO FIN;IND;PST;V ADP N;PL ADP DEF;DET PROPN;SG _ 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG NUM _
this contact with the west during the 16th century lead to a period of profound economic growth as lucrative trade routes were established .	this contact with the west during the 16th century lead to a period of profound economic growth as lucrative trade route be establish .	DET;SG N;SG ADP DEF;DET N;SG ADP DEF;DET ADJ N;SG FIN;IND;PST;V ADP DET;INDF N;SG ADP ADJ ADJ N;SG CONJ ADJ N;SG N;PL FIN;IND;PST;V PST;V;V.PTCP _
of course , the tactile trend is closely linked to our growing obsession with making things .	of course , the tactile trend be closely link to we grow obsession with make thing .	ADP N;SG _ DEF;DET ADJ N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP 1;PL;PRO V;V.MSDR N;SG CONJ V;V.MSDR N;PL _
yuan shikai , the president of the republic of china , considered the new republic to be the successor of the qing .	yuan shikai , the president of the republic of china , consider the new republic to be the successor of the qing .	PROPN;SG PROPN;SG _ DEF;DET N;SG ADP DEF;DET N;SG ADP PROPN;SG _ FIN;IND;PST;V DEF;DET ADJ N;SG PART NFIN;V DEF;DET N;SG ADP DEF;DET PROPN;SG _
the association that represents real estate agents in ontario says more needs to be done to protect consumers and punish agents found to have engaged in unethical behaviour .	the association that represent real estate agent in ontario say more need to be do to protect consumer and punish agent find to have engage in unethical behaviour .	DEF;DET N;SG PRO 3;FIN;IND;PRS;SG;V ADJ N;SG N;PL ADP PROPN;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR 3;FIN;IND;PRS;SG;V PART NFIN;V PST;V;V.PTCP PART NFIN;V N;PL CONJ NFIN;V N;PL PST;V;V.PTCP PART NFIN;V PST;V;V.PTCP ADP ADJ N;SG _
in 2007 the most successful film was el greco , directed by yannis smaragdis .	in 2007 the most successful film be el greco , direct by yannis smaragdis .	ADP NUM DEF;DET ADV ADJ N;SG 3;FIN;IND;PST;SG;V PROPN;SG PROPN;SG _ PST;V;V.PTCP ADP PROPN;SG PROPN;SG _
by this time , extravagant spending and a string of bad investments by her investors had left her nearly broke .	by this time , extravagant spending and a string of bad investment by she investor have leave she nearly broke .	ADP DET;SG N;SG _ ADJ N;SG CONJ DET;INDF N;SG ADP ADJ N;PL ADP 3;FEM;PRO;SG N;PL FIN;IND;PST;V PST;V;V.PTCP 3;ACC;FEM;PRO;SG ADV ADJ _
the amount of goods transported on the danube increased to about 100 million tons in 1987 .	the amount of goods transport on the danube increase to about 100 million ton in 1987 .	DEF;DET N;SG ADP N;PL PST;V;V.PTCP ADP DEF;DET PROPN;SG FIN;IND;PST;V ADP ADV NUM NUM N;PL ADP NUM _
he recovered and was released from the hospital on april 11 , becoming the first serving u.s. president to survive being shot in an assassination attempt .	he recover and be release from the hospital on april 11 , become the first serve u.s. president to survive be shoot in a assassination attempt .	3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET N;SG ADP PROPN;SG NUM _ V;V.MSDR DEF;DET ADJ V;V.MSDR PROPN;SG N;SG PART NFIN;V V;V.MSDR PST;V;V.PTCP ADP DET;INDF N;SG N;SG _
they have one crack at redemption , beating england .	they have one crack at redemption , beat england .	3;NOM;PL;PRO FIN;IND;PRS;V NUM N;SG ADP N;SG _ V;V.MSDR PROPN;SG _
in the summer , georges and his wife returned to switzerland , accompanied by rosane , an 18 year old who was the daughter of one of germaine 's friends .	in the summer , georges and he wife return to switzerland , accompany by rosane , a 18 year old who be the daughter of one of germaine 's friend .	ADP DEF;DET N;SG _ PROPN;SG CONJ 3;MASC;PRO;SG N;SG FIN;IND;PST;V ADP PROPN;SG _ PST;V;V.PTCP ADP PROPN;SG _ DET;INDF NUM N;SG ADJ PRO 3;FIN;IND;PST;SG;V DEF;DET N;SG ADP NUM ADP PROPN;SG PART N;PL _
in the 8th century bc , greece began to emerge from the dark ages which followed the fall of the mycenaean civilization .	in the 8th century bc , greece begin to emerge from the dark age which follow the fall of the mycenaean civilization .	ADP DEF;DET ADJ N;SG N _ PROPN;SG FIN;IND;PST;V PART NFIN;V ADP DEF;DET ADJ PL;PROPN PRO FIN;IND;PST;V DEF;DET N;SG ADP DEF;DET ADJ N;SG _
the gods represented distinctly the practical needs of daily life , and they were scrupulously accorded the rites and offerings considered proper .	the god represent distinctly the practical need of daily life , and they be scrupulously accord the rite and offering consider proper .	DEF;DET N;PL FIN;IND;PST;V ADV DEF;DET ADJ N;PL ADP ADJ N;SG _ CONJ 3;NOM;PL;PRO FIN;IND;PST;V ADV PST;V;V.PTCP DEF;DET N;PL CONJ N;PL PST;V;V.PTCP ADJ _
the hong kong government , which is led by pro-beijing lawmakers , have argued that the pair should not take office .	the hong kong government , which be lead by pro-beijing lawmaker , have argue that the pair should not take office .	DEF;DET PROPN;SG PROPN;SG N;SG _ PRO 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP ADJ N;PL _ FIN;IND;PRS;V PST;V;V.PTCP CONJ DEF;DET N;SG FIN;V NEG;PART NFIN;V N;SG _
the united states freed cuba ( after an occupation by the u.s. army ) .	the united states free cuba ( after a occupation by the u.s. army ) .	DEF;DET PROPN;SG PL;PROPN FIN;IND;PST;V PROPN;SG _ ADP DET;INDF N;SG ADP DEF;DET PROPN;SG PROPN;SG _ _
one of their many grieving facebook posts has a line which would have delighted chris : “ more african than you , i have not known . ”	one of they many grieve facebook post have a line which would have delight chris : “ more african than you , i have not know . ”	NUM ADP 3;PL;PRO ADJ V;V.MSDR PROPN;SG N;PL 3;FIN;IND;PRS;SG;V DET;INDF N;SG PRO FIN;V NFIN;V PST;V;V.PTCP PROPN;SG _ _ ADV ADJ ADP 2;NOM;PRO _ 1;NOM;PRO;SG FIN;IND;PRS;V NEG;PART PST;V;V.PTCP _ _
despite being the number one distributor of equipment and textiles worldwide , the german company was in financial trouble .	despite be the number one distributor of equipment and textile worldwide , the german company be in financial trouble .	CONJ V;V.MSDR DEF;DET N;SG NUM N;SG ADP N;SG CONJ N;PL ADV _ DEF;DET ADJ N;SG 3;FIN;IND;PST;SG;V ADP ADJ N;SG _
more than 5.7 million floridians have already hit the polls after about two weeks of in - person early voting .	more than 5.7 million floridians have already hit the poll after about two week of in - person early voting .	ADJ;CMPR ADP NUM NUM PL;PROPN FIN;IND;PRS;V ADV PST;V;V.PTCP DEF;DET N;PL ADP ADV NUM N;PL ADP ADP _ N;SG ADJ N;SG _
the industrial revolution took place in great britain earlier than in any other country .	the industrial revolution take place in great britain earlier than in any other country .	DEF;DET PROPN;SG PROPN;SG FIN;IND;PST;V N;SG ADP PROPN;SG PROPN;SG ADV;CMPR ADP ADP DET ADJ N;SG _
then the commercial ends .	then the commercial end .	ADV DEF;DET N;SG 3;FIN;IND;PRS;SG;V _
this department now faces new challenges .	this department now face new challenge .	DET;SG N;SG ADV 3;FIN;IND;PRS;SG;V ADJ N;PL _
" cinema had changed so drastically that hollywood had alienated the family audience . "	" cinema have change so drastically that hollywood have alienate the family audience . "	_ N;SG FIN;IND;PST;V PST;V;V.PTCP ADV ADV CONJ PROPN;SG FIN;IND;PST;V PST;V;V.PTCP DEF;DET N;SG N;SG _ _
when people die of old age in india , it is supposed to be a celebration .	when people die of old age in india , it be suppose to be a celebration .	ADV N;PL FIN;IND;PRS;V ADP ADJ N;SG ADP PROPN;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PART NFIN;V DET;INDF N;SG _
that was definitely the case for andy when he played benoît paire in monte carlo in april .	that be definitely the case for andy when he play benoît paire in monte carlo in april .	PRO;SG 3;FIN;IND;PST;SG;V ADV DEF;DET N;SG ADP PROPN;SG ADV 3;MASC;NOM;PRO;SG FIN;IND;PST;V PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG ADP PROPN;SG _
federico fellini once said : " the clown is to humanity as the shadow is to man " .	federico fellini once say : " the clown be to humanity as the shadow be to man " .	PROPN;SG PROPN;SG ADV FIN;IND;PST;V _ _ DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADP N;SG CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADP N;SG _ _
this will put new limits on the nature of the environmental changes that overtook the earth and sent so many species - not just the dinosaurs - into oblivion .	this will put new limit on the nature of the environmental change that overtake the earth and send so many species - not just the dinosaur - into oblivion .	PRO;SG FIN;V NFIN;V ADJ N;PL ADP DEF;DET N;SG ADP DEF;DET ADJ N;PL PRO FIN;IND;PST;V DEF;DET PROPN;SG CONJ PST;V;V.PTCP ADV ADJ N;PL _ ADV;NEG ADV DEF;DET N;PL _ ADP N;SG _
it is the portion from this second boundary up to the outer boundary , the imaginary line that connects the lighthouse landmark at punta del este to the lighthouse landmark at punta rasa .	it be the portion from this second boundary up to the outer boundary , the imaginary line that connect the lighthouse landmark at punta del este to the lighthouse landmark at punta rasa .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP DET;SG ADJ N;SG ADP ADP DEF;DET ADJ N;SG _ DEF;DET ADJ N;SG PRO 3;FIN;IND;PRS;SG;V DEF;DET N;SG N;SG ADP PROPN;SG PROPN;SG PROPN;SG ADP DEF;DET N;SG N;SG ADP PROPN;SG PROPN;SG _
corresponding with woods by e-mail , i tried my hand at uncovering an etym .	correspond with woods by e-mail , i try my hand at uncover a etym .	V;V.MSDR ADP PROPN;SG ADP N;SG _ 1;NOM;PRO;SG FIN;IND;PST;V 1;PRO;SG N;SG CONJ V;V.MSDR DET;INDF N;SG _
in 1976 , the racecourse was no longer used ; in 1990 , a fire destroyed what remained of the wooden grandstands , which were later demolished along with the stables .	in 1976 , the racecourse be no longer use ; in 1990 , a fire destroy what remain of the wooden grandstand , which be later demolish along with the stable .	ADP NUM _ DEF;DET N;SG 3;FIN;IND;PST;SG;V ADV;NEG ADV;CMPR PST;V;V.PTCP _ ADP NUM _ DET;INDF N;SG FIN;IND;PST;V PRO FIN;IND;PST;V ADP DEF;DET ADJ N;PL _ PRO FIN;IND;PST;V ADV PST;V;V.PTCP ADP ADP DEF;DET N;PL _
china was defeated , and in 1842 agreed to the provisions of the treaty of nanking .	china be defeat , and in 1842 agree to the provision of the treaty of nanking .	PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP _ CONJ ADP NUM FIN;IND;PST;V ADP DEF;DET N;PL ADP DEF;DET PROPN;SG ADP PROPN;SG _
some christian scholars criticize tolle 's teachings , while others praise them .	some christian scholar criticize tolle 's teaching , while other praise they .	DET ADJ N;PL FIN;IND;PRS;V PROPN;SG PART N;PL _ CONJ N;PL FIN;IND;PRS;V 3;ACC;PL;PRO _
but china 's growing middle class has been unusually vocal in its complaints about toxic air in cities like beijing , which can see day after day of lung - choking smog .	but china 's grow middle class have be unusually vocal in its complaint about toxic air in city like beijing , which can see day after day of lung - choking smog .	CONJ PROPN;SG PART V;V.MSDR ADJ N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADV ADJ ADP 3;NEUT;PRO;SG N;PL ADP ADJ N;SG ADP N;PL ADP PROPN;SG _ PRO FIN;V NFIN;V N;SG ADP N;SG ADP N;SG _ V;V.MSDR N;SG _
but having allowed glenda to score such a blinder , who can blame it ?	but have allow glenda to score such a blinder , who can blame it ?	CONJ V;V.MSDR PST;V;V.PTCP PROPN;SG PART NFIN;V DET DET;INDF N;SG _ PRO FIN;V NFIN;V 3;ACC;NEUT;PRO;SG _
unlike that of the 28th of october , mr. comey 's letter has hardly been commented upon .	unlike that of the 28th of october , mr. comey 's letter have hardly be comment upon .	ADP PRO;SG ADP DEF;DET N;SG ADP PROPN;SG _ PROPN;SG PROPN;SG PART N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP PST;V;V.PTCP ADP _
caplan dismisses retrospective voting , quoting a pair of scholars who call it “ no more rational than killing the pharaoh when the nile does not flood . ”	caplan dismiss retrospective voting , quote a pair of scholar who call it “ no more rational than kill the pharaoh when the nile do not flood . ”	PROPN;SG 3;FIN;IND;PRS;SG;V ADJ N;SG _ V;V.MSDR DET;INDF N;SG ADP N;PL PRO FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG _ ADV;NEG ADV ADJ CONJ V;V.MSDR DEF;DET N;SG ADV DEF;DET PROPN;SG 3;FIN;IND;PRS;SG;V NEG;PART NFIN;V _ _
pebe moved the family to nashville , tennessee , in 1991 after securing a new publishing deal for her songwriting .	pebe move the family to nashville , tennessee , in 1991 after secure a new publishing deal for she songwriting .	PROPN;SG FIN;IND;PST;V DEF;DET N;SG ADP PROPN;SG _ PROPN;SG _ ADP NUM CONJ V;V.MSDR DET;INDF ADJ N;SG N;SG ADP 3;FEM;PRO;SG N;SG _
